Log(E_peak),Log(beta),Log(sigma),Log(beta_Rel)
-0.1654648560438404,-1.2055119533408305,1.4106709658046857,-0.304529567234335
-2.468827752017377,-1.3535962737769305,1.4180658465314986,-0.1265757324473508
-4.495692283443602,-1.7258421507363202,1.2817376717069175,0.2624005933078502
2.851527405600252,-1.5391021572434522,1.1089403030357128,0.4153199978350944
1.380283618094059,-0.6281935414925841,0.9583536127761276,-0.3039919473455757
4.721241621781595,-1.640164517660112,1.1148177419042065,0.3781518439935427
2.479445736643433,-1.2262135550188065,0.9260696404922396,0.0865515615898
-0.1658019054379258,-0.907981529247203,1.106836587366795,-0.1745129612002504
0.0521550671995647,-0.9909742579130898,1.2255780475100215,-0.2670866643577113
-0.4522868137682975,-1.0026136156026866,0.8893185135802363,0.1390170637366766
0.737995265830911,-0.8551145817128577,0.9004982166387222,-0.1062652563374395
0.3125581495215206,-0.8706324042770144,0.8700057170682806,-0.0451489089837468
0.0548045002209548,-0.944621668625,1.1200208407329648,-0.2121455532769906
-0.8554257923903836,-1.2298847052128985,1.1984481355530645,-0.1669709221669193
0.4270964325493161,-0.5166980476418329,1.2018421163952282,-0.3902306459821036
1.021354713081423,-0.9665762445130504,0.8172678056687953,0.0727671417764656
0.8074944379027502,-0.9939620450026828,1.6521225155715018,-0.6838186602633979
-0.4972179415577671,-1.3233063903751334,1.5463526180668328,-0.268453644313017
-0.444156163301145,-1.0305840876460186,1.4614354939842602,-0.3684430166672332
-0.0745641367381761,-1.0680338852718274,2.3448821016205184,-1.1760912590556811
0.4948361240343096,-0.5033470607490821,0.6657029140374391,0.0402840834537555
0.1339538445179571,-1.2441251443275083,1.117228195591491,0.0215519667168199
0.7183023492912975,-1.5272435506827875,1.2465847417884262,0.12930354201075
1.8725350221946804,-1.5072396109731625,1.002645465592065,0.3403867228859475
0.2152673434317222,-1.1331221856625011,1.6245512543587508,-0.5551239532817445
-0.0367506538577963,-0.5985994592184559,1.0365171140156604,-0.3058824984583932
-2.323059598382817,-1.4023048140744876,0.9474680327367904,0.2899221144102238
0.6230941575218436,-1.6861327796308463,1.224089996147953,0.2989166363505821
-0.6922473121343342,-0.9351677802614262,1.420808637643598,-0.4478318786176749
0.8816413910114974,-0.8332739444199482,1.1828766648504403,-0.347182120038183
1.7212498733891288,-0.8777841217271733,1.0503140076855957,-0.1872127268191719
0.3838692008025447,-1.1284270644541214,1.2014025871097662,-0.1876258047943665
0.4525377439293981,-1.0931264652779296,0.8342553478060966,0.0163704839082061
1.0599797169441618,-1.0123337350737254,0.8400935424117302,0.1151103499571667
0.916611845109346,-1.197910742118267,1.3686103928171494,-0.2567821414159086
1.2109869738321457,-1.265200170411153,2.0750287835857373,-0.859738566197147
0.7191737852372917,-1.27083521030723,1.026929382641231,0.0554525029401053
2.679391552456953,-1.5575202309355514,0.9678427097242996,0.3602939562275271
0.004751155591001,-0.8294449414787914,0.7899964769587082,-0.0266039420972449
1.7015593508849731,-1.243363891754152,0.7378285058957846,0.191776857532753
1.4823732854585825,-1.2700257143004443,0.8809050130751302,0.2271539119772574
1.1297543228027724,-1.0414361167780326,1.1600962049042502,-0.1436507019468935
0.1498962071587605,-1.374687549038326,0.9085761575396476,0.2228766660297247
-0.8637869344869751,-2.42021640338319,1.1908917169221696,0.9478463042545284
-1.9153165020967493,-2.0861861476162837,1.0436137422814191,0.7799130965399301
1.554997659078943,-0.8303255659411931,1.3782525060750344,-0.4663830559401455
4.288271588254821,-1.5482135644757098,1.7432439327925542,-0.3279347945572044
0.0947505524775044,-1.2898826348881838,1.8888980413869756,-0.6132073521037599
0.8832752239392786,-1.0830199526796178,1.4417438241552962,-0.4284293308199379
1.3158444447510342,-1.2572748686953017,1.2069229745016707,-0.0267217876698991
-0.4696594031420436,-1.3178549236261683,1.747851318291239,-0.4594286052262484
0.8529189459272573,-1.3010299956639813,0.913172529921905,0.1316186643491254
