number,prob_DM,anomaly_score,anomaly_score_norm,combined_score
315,0.9,-11.309409097328414,0.0,0.45
225,0.9,-11.309409097328414,0.0,0.45
311,0.9,-11.309409097328414,0.0,0.45
589,0.89,-11.3094074297066,0.009781513683265075,0.44989075684163254
622,0.89,-11.309407489469228,0.00943097319395747,0.44971548659697874
459,0.86,-11.309402518309255,0.03858954428869765,0.4492947721443488
61,0.89,-11.30940792317187,0.006887070077937096,0.44844353503896855
792,0.89,-11.309407976471554,0.006574438288225792,0.4482872191441129
880,0.87,-11.309404851114712,0.024906364880735055,0.4474531824403675
1027,0.89,-11.309408310972849,0.004612405318766832,0.4473062026593834
760,0.89,-11.309408348697032,0.00439113235916011,0.44719556617958006
750,0.89,-11.309408684719282,0.002420178148895502,0.44621008907444776
635,0.89,-11.309408691440897,0.0023807521938579157,0.44619037609692896
987,0.89,-11.309408734936529,0.0021256265317788348,0.4460628132658894
488,0.89,-11.309408769792354,0.001921178074553609,0.4459605890372768
997,0.89,-11.309408771801888,0.0019093910523224622,0.44595469552616124
660,0.89,-11.309408854463626,0.0014245347556425259,0.44571226737782127
430,0.89,-11.30940898695166,0.0006474200199590996,0.44532371000997956
286,0.89,-11.309408997535904,0.0005853376351296902,0.44529266881756485
145,0.88,-11.309407322299968,0.010411512295831926,0.44520575614791597
162,0.89,-11.309409045234256,0.000305560723063536,0.4451527803615318
590,0.89,-11.30940904659155,0.0002975994430016726,0.44514879972150084
830,0.89,-11.30940906504292,0.00018937207642011344,0.44509468603821006
102,0.89,-11.30940906512113,0.00018891332729253918,0.4450944566636463
570,0.89,-11.30940908606086,6.609036063309759e-05,0.44503304518031656
803,0.89,-11.309409091449355,3.4483891795389354e-05,0.4450172419458977
109,0.89,-11.309409093970013,1.9698869436979294e-05,0.4450098494347185
666,0.89,-11.309409094325853,1.7611673683859408e-05,0.44500880583684194
669,0.89,-11.30940909523556,1.2275733752176166e-05,0.4450061378668761
160,0.89,-11.309409095832198,8.776129106990993e-06,0.4450043880645535
1006,0.89,-11.309409095876644,8.515431545674801e-06,0.44500425771577284
1009,0.89,-11.309409096042009,7.545473636128008e-06,0.44500377273681807
870,0.89,-11.30940909612464,7.060792995616794e-06,0.4450035303964978
1105,0.89,-11.309409096368606,5.6298013078048825e-06,0.4450028149006539
620,0.89,-11.309409096598316,4.282424924895167e-06,0.44500214121246245
1043,0.89,-11.309409096681854,3.7924328353255987e-06,0.44500189621641767
773,0.89,-11.309409096869638,2.690969267860055e-06,0.44500134548463394
618,0.89,-11.30940909711906,1.2279779184609652e-06,0.44500061398895924
503,0.89,-11.30940909713498,1.134598278440535e-06,0.4450005672991392
51,0.89,-11.309409097201732,7.430644473060966e-07,0.44500037153222366
565,0.89,-11.309409097287675,2.3895699996501207e-07,0.4450001194785
359,0.89,-11.309409097299955,1.6692501958459616e-07,0.4450000834625098
718,0.89,-11.30940909730846,1.1704105418175459e-07,0.4450000585205271
443,0.89,-11.309409097311852,9.71485860645771e-08,0.44500004857429304
273,0.89,-11.30940909731283,9.141513146460056e-08,0.44500004570756574
332,0.89,-11.309409097315363,7.655762601643801e-08,0.445000038278813
586,0.89,-11.309409097319708,5.106267053633928e-08,0.4450000255313353
506,0.89,-11.309409097323142,3.092281986027956e-08,0.44500001546140994
640,0.89,-11.309409097323364,2.962769940495491e-08,0.4450000148138497
605,0.89,-11.309409097323464,2.9045622795820236e-08,0.4450000145228114
696,0.89,-11.3094090973236,2.8230715543031693e-08,0.4450000141153578
50,0.89,-11.309409097324284,2.4228938855230808e-08,0.44500001211446943
971,0.89,-11.309409097324888,2.0678271539509296e-08,0.4450000103391358
113,0.89,-11.309409097326435,1.1612428352236748e-08,0.4450000058062142
849,0.89,-11.309409097327194,7.159542292356491e-09,0.44500000357977115
528,0.89,-11.309409097327832,3.41970007866621e-09,0.44500000170985005
902,0.89,-11.309409097328,2.4301698431372643e-09,0.44500000121508493
734,0.89,-11.309409097328038,2.2118911147117615e-09,0.44500000110594556
613,0.89,-11.309409097328066,2.0372681319713593e-09,0.4450000010186341
267,0.89,-11.309409097328311,6.111804395914078e-10,0.4450000003055902
213,0.89,-11.30940909732832,5.529727786779404e-10,0.4450000002764864
227,0.89,-11.309409097328349,3.92901711165905e-10,0.44500000019645086
702,0.89,-11.309409097328356,3.4924596548080444e-10,0.445000000174623
1045,0.89,-11.309409097328365,2.9103830456733704e-10,0.44500000014551916
1098,0.89,-11.309409097328365,2.9103830456733704e-10,0.44500000014551916
1000,0.89,-11.309409097328366,2.764863893389702e-10,0.4450000001382432
