Position,Source_ID,E_peak,Beta,Log_E_peak,Log_Beta,ANN_Prob_Mean,ANN_Prob_Std,OCSVM_Anomaly_Rank,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Log_E_peak,OCSVM_Log_Beta
26,75,0.83632,0.4803,-0.0776275172463246,-0.3184874133610378,0.4365581328207932,0.0168812237502395,21.879142873530945,1,-0.0602391623459666,-3.382276437260005,-1.4814860601221125
27,1098,0.41272,0.0604,-0.3843444851347481,-1.2189630613788682,0.4353220548446765,0.0173715225333565,45.10727713358418,1,-0.03143473289295329,-0.5227484764751105,-0.624702261782661
28,146,11.498,0.34,1.060622304309956,-0.4685210829577448,0.4342132918368015,0.016726407629095,51.73340731854613,1,-0.02321789131099916,0.5987576873002555,-1.0
29,67,6.4615,0.1658,0.8103333486611494,-0.7804154737857453,0.4333781065537045,0.0171273783547367,39.72773104818285,1,-0.03810572738486395,0.788359305564385,-0.111315153340301
30,577,0.031671,0.0689,-1.4993382237254835,-1.161780778092374,0.4325163891270183,0.0165904270071953,30.737761958339455,1,-0.04925388623111693,0.8391385239248444,-0.4023048140744876
31,604,0.083237,0.0833,-1.0796835808742078,-1.0793549985932125,0.431482404898865,0.0161788421129966,55.52415204093592,1,-0.018517116048207605,-0.8513973451939065,-1.1630432629404497
32,41,9.3339,0.1988,0.970063143701394,-0.7015836199387054,0.4309424381395055,0.015808092650575,32.13782792240221,1,-0.04751771143378225,0.1067686651768057,-0.4658469258149374
33,536,0.73941,0.3503,-0.1311146801958965,-0.4555598626823076,0.4300649241741849,0.0155068132910452,33.32098325191375,1,-0.04605052023196965,1.0335845755154134,-0.4029633350223465
34,214,34.987,0.1322,1.5439067050064068,-0.8787685448503785,0.4290823387009169,0.0153833900844202,56.10347584345512,1,-0.017798716050459462,-0.4288387475872744,-0.1213058996038916
35,335,0.67177,0.409,-0.1727793948459093,-0.3882766919926582,0.4287274600250157,0.0151575861723614,30.852676858328714,1,-0.04911138412170157,0.2897672709527814,-0.3032069149182557
36,1010,58.718,0.2163,1.7687712546097138,-0.6649434805609086,0.427963700351762,0.0146308001107244,45.59342591103359,1,-0.030831876115610113,1.327563260187278,-0.6880343396316337
37,658,0.85311,0.2507,-0.0689949672932144,-0.6008456660417836,0.4275152550562303,0.0145331527861682,54.71521012854296,1,-0.019520257754994663,-0.5428450575134158,-1.0634862575211066
38,1027,0.18555,0.1688,-0.7315390413151981,-0.7726275577103637,0.4262602609475708,0.0135379542789542,50.461628984807106,1,-0.0247949809249961,-0.6219293059935578,-0.3193019703023649
39,785,0.78703,0.2986,-0.1040087128936197,-0.5249101966109935,0.4250576952779272,0.0141788763507386,55.66912395353344,1,-0.01833734124656694,-0.5654310959658012,-1.2232988160115892
40,596,1.2712,0.4036,0.1042138841993231,-0.394048842435127,0.4246541745834994,0.0142042662068325,34.30851240695246,1,-0.044825918481323446,0.3402656009723298,-0.1962015920103258
41,1108,4.4638,0.2289,0.6497047278555522,-0.6403542073254571,0.4240729296208374,0.0137997362010644,40.74552969949765,1,-0.03684358944812971,0.970063143701394,-0.7015836199387054
42,525,2.6115,0.3131,0.4168900301730124,-0.5043169323830847,0.4224058725413327,0.0131670905769928,40.687572960003955,1,-0.03691545965498244,-0.267879770971408,-0.2954205503037008
43,483,0.00067041,0.0601,-3.1736595162864485,-1.2211255279972604,0.4218459259115016,0.0130848173047363,52.40235555954898,1,-0.022388351056066957,-2.041698970746327,-1.198596289982645
44,204,1.2309,0.4783,0.0902227716865751,-0.3202996191280358,0.4214785580109041,0.0134237985655852,59.19940574348397,1,-0.013959557321718274,1.371714202642618,-1.2907300390241692
45,26,0.00041469,0.033,-3.382276437260005,-1.4814860601221125,0.4204585387978886,0.0139874407574368,40.273961186752416,1,-0.03742836572871944,1.1396902216529228,-0.1870198339605195
46,996,0.59159,0.2197,-0.2279791757527728,-0.6581699430794897,0.4200704594643215,0.0139091805637863,49.223000364359464,1,-0.026330962692482474,0.8652283795242256,-0.910448117113546
47,583,0.071576,0.16,-1.145232575664756,-0.7958800173440752,0.4192561902416606,0.0135752556684221,62.57140386319677,1,-0.009778055662241547,-0.9347191288972456,-0.3132743789254578
48,87,2.8215,0.0521,0.4504800546060601,-1.2831622767004756,0.4186751803661697,0.0130854911580508,57.554078722387686,1,-0.015999872121680858,0.4816289195075781,-1.2549252084179423
49,1046,1.3713,0.3462,0.1371324760089931,-0.4606729364606249,0.4182167379793273,0.012840796825121,38.34461699329004,1,-0.03982088068876688,-0.2538719945356721,-0.5230235342404729
50,650,0.0084023,0.0554,-2.0756018162497525,-1.2564902352715703,0.4176542359143203,0.0123395589211099,54.637377979618336,1,-0.019616774789801505,-0.3422177421884616,-1.087246696328677
51,1094,6.7305,0.0752,0.8280473285887555,-1.1237821594083577,0.416994722733041,0.0121550798010007,58.38841133704021,1,-0.014965244257468924,-1.3805310001358266,-1.0352690789463703
52,213,0.042356,0.0879,-1.3730850603670195,-1.056011124926228,0.4167928016160019,0.0122376272338423,32.08672565624606,1,-0.04758108163837571,0.0850407067421937,-0.431211787684653
53,509,0.81126,0.3397,-0.0908399368257164,-0.468904453129972,0.4163373317032566,0.0123243253750687,32.11947489534792,1,-0.047540470406462365,0.9193971554262502,-0.450261268735101
54,200,0.22122,0.4024,-0.6551756120102399,-0.395342027952129,0.4156400098733211,0.0116973117794342,50.02717211749028,1,-0.025333736300046872,1.266936911159173,-0.8326826652518239
55,975,0.50834,0.3575,-0.2938457154088696,-0.4467239538629006,0.4148619573715753,0.0112405434268686,47.70672714510657,1,-0.02821124220552862,0.7796542009757892,-0.8873949984654255
56,659,0.5335,0.3501,-0.2728655762395113,-0.4558078892349673,0.4143266921713582,0.0109974241457503,54.462377926333744,1,-0.019833786480567328,-0.7854475447657551,-0.9427143555817854
