Log(E_peak),Log(beta),Log(sigma_det),Log(beta_Rel),number,svm_score,prediction,Anomaly_Score,Anomaly_Rank(%)
-0.0578480332252178,-0.679853713888946,0.942097384413391,-0.3010299956639812,16,2.266076515656854,1,-2.266076515656854,7.509904759385591
2.018076063645795,-1.3142582613977365,0.7320880376060064,0.3805841867597741,17,1.661822135468718,1,-1.661822135468718,21.26174897436932
-1.5738792912533843,-1.2211255279972604,0.632285160030591,0.3333952964145311,18,1.9159686205506947,1,-1.9159686205506947,15.47778946125026
0.2308574768946725,-0.2731098592581784,1.3261985857907943,-0.6862878006277487,19,1.8510656101308456,1,-1.8510656101308456,16.954876128126116
-3.658150175915248,-1.7958800173440752,0.6985876569344022,0.7879915051310248,20,0.8608410742347576,1,-0.8608410742347576,39.49077160853247
0.8430707441941182,-1.3062730510763532,0.838244434208112,0.2427867935552463,21,2.192407571459201,1,-2.192407571459201,9.186489782688241
0.2005221918021129,-0.3998987443086093,1.160795554463833,-0.4414372748774015,22,2.017092067517254,1,-2.017092067517254,13.176384730459041
-0.2322951171260335,-0.6263525277907822,0.8468688281742385,-0.1465323896200926,23,2.0880078441156993,1,-2.0880078441156993,11.56245731157501
1.0466122090684455,-0.2871819997921499,0.6326597132939135,-0.1770177093829523,24,1.288049118129594,1,-1.288049118129594,29.768213262822908
1.6765930245187537,-0.4313290219901032,0.8678680090143196,-0.3328901076823365,25,1.6303654040958655,1,-1.6303654040958655,21.977652877651522
-3.382276437260005,-1.4814860601221125,0.6900719781611445,0.3758021228065509,26,1.4152096267641294,1,-1.4152096267641294,26.874247472296474
-0.5227484764751105,-0.624702261782661,1.1443032727937348,-0.4705821929386581,27,2.3117819516040807,1,-2.3117819516040807,6.469723578194184
0.5987576873002555,-1.0,0.749450297993681,0.0888445627270042,28,2.1457618912354377,1,-2.1457618912354377,10.24806939016981
0.788359305564385,-0.111315153340301,0.7335022077513035,-0.3990075549960003,29,1.2348070204505532,1,-1.2348070204505532,30.979916573493412
0.8391385239248444,-0.4023048140744876,0.8286663400258267,-0.2099495263166487,30,1.7106541270370546,1,-1.7106541270370546,20.150412486339093
-0.8513973451939065,-1.1630432629404497,0.6297357072328554,0.451516063540232,31,1.8731980180850467,1,-1.8731980180850467,16.451178618819064
0.1067686651768057,-0.4658469258149374,0.7120938531249047,-0.0941891382641577,32,1.7233489377279838,1,-1.7233489377279838,19.86149929897251
1.0335845755154134,-0.4029633350223465,0.7437370435139938,0.6001059999949092,33,0.8723720190161419,1,-0.8723720190161419,39.22834611111894
-0.4288387475872744,-0.1213058996038916,0.8800013883217691,-0.5815904502468519,34,1.4910655563795654,1,-1.4910655563795654,25.147890227638257
0.2897672709527814,-0.3032069149182557,0.6448323288256362,-0.1649311359859349,35,1.430289430337682,1,-1.430289430337682,26.53105573660482
1.327563260187278,-0.6880343396316337,0.6474220939813102,0.0079727796119422,36,1.6756922895630222,1,-1.6756922895630222,20.946086888008757
-0.5428450575134158,-1.0634862575211066,0.8936730082678418,0.2591092011080434,37,2.2347386524016795,1,-2.2347386524016795,8.223103418171391
-0.6219293059935578,-0.3193019703023649,0.9436725500399644,-0.3420423641189347,38,1.7987326309853344,1,-1.7987326309853344,18.145889383654335
-0.5654310959658012,-1.2232988160115892,0.6175769194810008,0.3722098091209455,39,1.9740907803858185,1,-1.9740907803858185,14.155023894797687
0.3402656009723298,-0.1962015920103258,1.0198139257320966,-0.3761500368027415,40,1.6300011946624942,1,-1.6300011946624942,21.98594169036611
0.970063143701394,-0.7015836199387054,0.8398612641181105,-0.1507400558201957,41,2.0406450395954963,1,-2.0406450395954963,12.640357498485969
-0.267879770971408,-0.2954205503037008,0.7051963697127748,-0.2844586016105962,42,1.561081237299062,1,-1.561081237299062,23.554447518441613
-2.041698970746327,-1.198596289982645,0.7083444031761306,0.234426115235473,43,1.9576270721778748,1,-1.9576270721778748,14.529711042958859
1.371714202642618,-1.2907300390241692,0.8001463483381074,0.3060897944333834,44,1.9863738337252261,1,-1.9863738337252261,13.875481633216928
1.1396902216529228,-0.1870198339605195,0.6183410158707928,-0.0160590907093116,45,0.9845973389929004,1,-0.9845973389929004,36.674280856653475
0.8652283795242256,-0.910448117113546,0.9804896909170984,-0.1919247915960126,46,2.3452164635723864,1,-2.3452164635723864,5.7088086141206205
-0.9347191288972456,-0.3132743789254578,0.6309361190641914,-0.206287473896725,47,1.438433790093276,1,-1.438433790093276,26.345703391198832
0.4816289195075781,-1.2549252084179423,0.8548584287881192,0.1229815702409841,48,2.3370566323195074,1,-2.3370566323195074,5.8945130655723545
-0.2538719945356721,-0.5230235342404729,0.9782490122426428,-0.459525736248991,49,2.1456737701816824,1,-2.1456737701816824,10.250074881636706
-0.3422177421884616,-1.087246696328677,0.7277689173006153,0.2249172335654321,50,2.151973682735129,1,-2.151973682735129,10.106699146443788
-1.3805310001358266,-1.0352690789463703,0.7358143967945251,0.0042187599277133,51,2.1872520432747518,1,-2.1872520432747518,9.303821196018546
0.0850407067421937,-0.431211787684653,1.6389363001900108,-0.903207221297394,52,1.8843982835183617,1,-1.8843982835183617,16.196278844062846
0.9193971554262502,-0.450261268735101,0.624983003206901,-0.0125495050212545,53,1.455119577911809,1,-1.455119577911809,25.96596207329015
1.266936911159173,-0.8326826652518239,0.7110053634855482,0.0116596125449933,54,1.897344095766778,1,-1.897344095766778,15.901653270606147
0.7796542009757892,-0.8873949984654255,0.7007902213743469,0.0112466394325112,55,2.036719453217934,1,-2.036719453217934,12.72969744220287
-0.7854475447657551,-0.9427143555817854,0.781834330107991,0.0759338123142796,56,2.1971284917901936,1,-2.1971284917901936,9.079049335300923
1.2641327971692584,-0.0038825238627119,0.6290424345195677,-0.8182925042726065,57,0.8834528436661611,1,-0.8834528436661611,38.97616461379463
-0.3291143125159523,-0.3955579337392768,1.0199674211302396,-0.4466831802138593,58,1.9905352878402258,1,-1.9905352878402258,13.780773724472503
0.2599043195152694,-0.2858379539011467,1.320227319147892,-0.6542201580368986,59,1.8685205395013824,1,-1.8685205395013824,16.557630402886304
-0.4073569873961394,-0.6515004297161623,0.6483112111065161,-0.2083058917052064,60,1.953315542297263,1,-1.953315542297263,14.627834431370147
-0.3712229330835629,-0.858236769724212,0.6153923666841115,0.1353873836880088,61,1.9341761878059902,1,-1.9341761878059902,15.063414925230006
0.1991515712050888,-0.3501785367754347,0.617744507735509,-0.1112477294177095,62,1.451161452231318,1,-1.451161452231318,26.056042558473372
1.1389023999335937,-0.2980005251103632,0.9839012983025244,-0.3381995294105274,63,1.6449226651770843,1,-1.6449226651770843,21.64635335687116
0.82008975062394,-0.0705299838225105,0.6273760992663314,-0.0692518315087328,64,0.8766765866474113,1,-0.8766765866474113,39.130381172147956
-0.5805068645606533,-0.7770235501066086,0.6753658409478986,0.1488300086140246,65,1.9100962639322656,1,-1.9100962639322656,15.611434720662892
0.3326000278050816,-0.9325571572236192,1.2270919127337463,-0.2764543676875649,66,2.513557640075126,1,-2.513557640075126,1.8776379844398363
0.8103333486611494,-0.7804154737857453,0.8459100315607756,-0.1240664838911039,67,2.140081997252949,1,-2.140081997252949,10.377334513875638
-2.819874124835946,-1.2153827073671246,0.7096091210726486,0.1710704576806304,68,1.7567613796011639,1,-1.7567613796011639,19.101086614269903
0.393926006585837,-0.2326214758858194,0.7286783668509138,-0.1815795151011796,69,1.4009217108324616,1,-1.4009217108324616,27.199417136747893
1.475031622066406,-0.4257371702929732,0.6106601630898799,0.1687763250979063,70,1.1389568322112016,1,-1.1389568322112016,33.16131053580781
0.114744387545126,-0.2198988085320884,1.293075140122864,-0.6944539031710553,71,1.7806458628191955,1,-1.7806458628191955,18.557514729416546
1.1333472655862429,-0.7382614526474622,0.7836963828161115,-0.1153004120667631,72,1.9798974922712507,1,-1.9798974922712507,14.022872602448103
-3.42021640338319,-1.1931419704811823,0.6612446089593336,0.3077529547133558,73,1.357335929241911,1,-1.357335929241911,28.19135844172435
-0.9612606518952512,-0.9273825234547636,0.6973514164197789,-0.0355895967894615,74,2.1541611371731175,1,-2.1541611371731175,10.056916250953265
-0.0776275172463246,-0.3184874133610378,0.6080551143826537,-0.2625487559353394,75,1.4766915991328773,1,-1.4766915991328773,25.475018052094818
-0.0081096960639749,-0.7009287399725904,0.7201510310513265,-0.0230692700653593,76,1.9895943754411096,1,-1.9895943754411096,13.802187356142937
1.096075366085106,-1.1402614338028532,0.6710802327388493,0.2747572896375266,77,1.9136291065626576,1,-1.9136291065626576,15.531032984106055
