E_peak,beta,sigma,beta_Rel,number,anomaly,anomaly_score
0.53966,0.5065,5.0722,0.5194471865745312,42,-1,-349.22559297352853
0.0090845,0.0633,5.1091,1.7156398104265405,43,-1,-349.22559301596345
23.535,0.0512,6.3117,2.0234375,44,-1,-349.22559301610033
13.794,0.6501,4.1528,0.9636978926319026,45,-1,-349.22559301610033
7.3321,0.1229,9.5607,0.6427990235964199,46,-1,-349.22559301610033
0.11622,0.4861,4.275,0.6218885003085786,47,-1,-349.2255574128956
3.0313,0.0556,7.1591,1.327338129496403,48,-1,-349.22559301610033
0.55735,0.2999,9.5115,0.3471157052350783,49,-1,-349.22559301610033
0.45476,0.0818,5.3428,1.6784841075794623,50,-1,-349.2255930160887
0.041636,0.0922,5.4427,1.009761388286334,51,-1,-349.2255930158507
1.2163,0.3705,43.5448,0.124966261808367,52,-1,-349.22559301610033
8.3061,0.3546,4.2168,0.9715172024816692,53,-1,-349.22559300840715
18.49,0.147,5.1405,1.0272108843537415,54,-1,-349.22559301610033
6.0208,0.1296,5.021,1.0262345679012346,55,-1,-349.2255930157413
0.16389,0.1141,6.0511,1.1910604732690622,56,-1,-349.2255930161003
18.371,0.9911,4.2564,0.1519523761477146,57,-1,-349.22559301610033
0.46869,0.4022,10.4705,0.3575335653903531,58,-1,-349.22559301610033
1.8193,0.5178,20.9039,0.2217072228659714,59,-1,-349.22559301610033
0.39142,0.2231,4.4495,0.6190049305244285,60,-1,-349.2255728920708
0.42538,0.1386,4.1247,1.3658008658008658,61,-1,-349.2255837523146
1.5818,0.4465,4.1471,0.7740201567749161,62,-1,-349.22555570186216
13.769,0.5035,9.6361,0.4589870903674281,63,-1,-349.22559301610033
6.6083,0.8501,4.2401,0.85260557581461,64,-1,-349.22559300573386
0.26272,0.1671,4.7355,1.4087372830640337,65,-1,-349.2255929850942
2.1508,0.1168,16.8691,0.5291095890410958,66,-1,-349.22559301610033
6.4615,0.1658,7.0131,0.7515078407720145,67,-1,-349.22559301610033
0.001514,0.0609,5.124,1.4827586206896552,68,-1,-349.225593015561
2.477,0.5853,5.354,0.658294891508628,69,-1,-349.22559301573
29.856,0.3752,4.08,1.474946695095949,70,-1,-349.22559301610033
1.3024,0.6027,19.637,0.2020905923344947,71,-1,-349.22559301610033
13.594,0.1827,6.0771,0.7668308702791462,72,-1,-349.22559301610033
0.00038,0.0641,4.584,2.031201248049922,73,-1,-349.22559301280506
0.10933,0.1182,4.9814,0.9213197969543148,74,-1,-349.2255929655316
0.83632,0.4803,4.0556,0.5463252134082865,75,-1,-349.225357931032
0.9815,0.1991,5.2499,0.9482672024108488,76,-1,-349.22559301433097
12.476,0.0724,4.689,1.8825966850828728,77,-1,-349.22559301610033
0.047584,0.1064,6.1951,0.8524436090225564,78,-1,-349.2255930161003
0.87805,0.4832,10.1015,0.3313327814569536,79,-1,-349.22559301610033
0.45868,0.6221,7.7579,0.243529979103038,80,-1,-349.22559301610033
13.638,0.0743,4.4748,1.5302826379542394,81,-1,-349.22559301610033
1.6586,0.0617,5.6909,2.00162074554295,82,-1,-349.22559301610033
1.6143,0.3588,28.0187,0.1953734671125975,83,-1,-349.22559301610033
0.099917,0.0785,5.6633,1.1617834394904458,84,-1,-349.2255930160923
0.18204,0.5867,28.8993,0.1165842849838077,85,-1,-349.22559301610033
0.27256,0.131,6.6336,0.933587786259542,86,-1,-349.22559301610033
2.8215,0.0521,8.5078,1.476007677543186,87,-1,-349.22559301610033
0.1098,0.1311,5.0649,0.855072463768116,88,-1,-349.2255929864634
0.70925,0.9515,5.0502,0.3048870204939569,89,-1,-349.2255929890214
0.60093,0.7372,6.4752,0.3151112316874661,90,-1,-349.22559301610033
2.9174,0.1064,5.9987,1.0968045112781954,91,-1,-349.2255930161003
8.162,0.6502,5.6279,0.5547523838818825,92,-1,-349.22559301610033
0.53482,0.8313,6.4382,0.3427162275953326,93,-1,-349.22559301610033
0.010104,0.0771,8.1483,1.0985732814526588,94,-1,-349.22559301610033
39.444,0.0137,4.5422,6.54014598540146,95,-1,-349.22559301610033
8.2624,0.112,6.6117,1.032142857142857,96,-1,-349.22559301610033
1.0193,0.9819,13.2041,0.1181383032895407,97,-1,-349.22559301610033
1.5446,0.3223,27.6206,0.1886441203847347,98,-1,-349.22559301610033
1.6268,0.4661,7.6396,0.5721948079811199,99,-1,-349.22559301610033
0.38155,0.4241,25.222,0.1492572506484319,100,-1,-349.22559301610033
0.025961,0.1263,10.6014,0.7640538400633413,101,-1,-349.22559301610033
0.17789,0.2687,5.1334,0.5042798660215855,102,-1,-349.22559295930284
0.39739,0.4702,6.8637,0.4472564866014462,103,-1,-349.22559301610033
3.1757,0.4807,7.7449,0.5331807780320366,104,-1,-349.22559301610033
0.8483,0.2241,10.5626,0.4457831325301205,105,-1,-349.22559301610033
13.893,0.1439,11.8161,0.6108408617095206,106,-1,-349.22559301610033
