ANN_Position,Source_ID,ANN_E_peak,ANN_Beta,ANN_Sigma_det,ANN_Beta_Rel,ANN_Log_E_peak,ANN_Log_Beta,ANN_Log_Sigma_det,ANN_Log_Beta_Rel,ANN_Prob_Mean,ANN_Prob_Std,OCSVM_Anomaly_Rank,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Log_E_peak,OCSVM_Log_Beta,OCSVM_Log_sigma_det,OCSVM_Log_beta_Rel
11,798,0.19689,0.1259,4.1117,1.0738681493248607,-0.7057763410234144,-0.8999742698921374,0.6140214199226428,0.0309509614977544,0.5577569602136059,0.0185125227160737,10.120450210838257,1,-0.19359297261532982,-0.0917187720181673,-1.7619538968712043,0.8658971851683774,0.6317721048505327
12,1046,1.3713,0.3462,4.3628,0.7047949162333911,0.1371324760089931,-0.4606729364606249,0.6397653044634994,-0.1519372372006456,0.5443449742129435,0.0161358289220141,24.032993153344187,1,-0.15548586830562905,0.5002090217151078,-0.7011469235902933,0.8482938278592816,-0.0863991153694309
13,123,0.26898,0.1781,5.0611,0.7259966311061201,-0.5702800107505644,-0.7493360805367565,0.7042449184230212,-0.1390653945828495,0.5399902124261136,0.0185800389094035,31.09953339638804,1,-0.13613028483945744,-1.2188624087595714,-2.1249387366083,0.7321443710297231,1.1143885542749918
14,839,1.8119,0.5288,12.4026,0.3004916792738275,0.2581342249927706,-0.2767085535224161,1.093512737362979,-0.5221675492702043,0.5342258796904575,0.0236097264552534,49.53073846279668,1,-0.08564635412156885,0.1473671077937864,-0.2185318571582016,0.8023289442025816,-0.2730731097087453
15,785,0.78703,0.2986,7.3567,0.4450770261219022,-0.1040087128936197,-0.5249101966109935,0.8666830462421649,-0.3515648224462746,0.5240461010882198,0.0266936271297347,21.73032631324324,1,-0.16179298022821842,0.8372600682972373,-0.9190129530891128,0.7296911336964809,0.0200723079972283
16,1010,58.718,0.2163,4.1131,1.296347665279704,1.7687712546097138,-0.6649434805609086,0.6141692684491813,0.1127214898555295,0.5224218356194604,0.0254428509965281,18.359123875806972,1,-0.17102686101215525,-0.0578480332252178,-0.679853713888946,0.942097384413391,-0.3010299956639812
17,136,0.95302,0.3488,13.6926,0.3922018348623853,-0.0208979851974587,-0.4574235237394704,1.1364859213583254,-0.4064903788764321,0.521729408054732,0.025253318146396,21.640075013883504,1,-0.16204018274849097,2.018076063645795,-1.3142582613977365,0.7320880376060064,0.3805841867597741
18,868,2.0156,0.4302,16.9531,0.2715016271501627,0.3044043496837311,-0.3663295939485562,1.22924912376593,-0.5662275632750631,0.5176344313596779,0.0264378922093033,27.356530328413,1,-0.14638254489948377,-1.5738792912533843,-1.2211255279972604,0.632285160030591,0.3333952964145311
19,193,0.23225,0.3411,6.1164,0.4165933743770155,-0.6340442773343206,-0.4671182805926027,0.7864958796363328,-0.3802876414799274,0.5145691227843572,0.0242198393950629,24.41897554910026,1,-0.15442864451285665,0.2308574768946725,-0.2731098592581784,1.3261985857907943,-0.6862878006277487
20,43,0.0090845,0.0633,5.1091,1.7156398104265405,-2.041698970746327,-1.198596289982645,0.7083444031761306,0.234426115235473,0.5113024166908936,0.0236083460055632,43.75167338405443,1,-0.10147548303626552,-3.658150175915248,-1.7958800173440752,0.6985876569344022,0.7879915051310248
21,335,0.67177,0.409,6.0491,0.419559902200489,-0.1727793948459093,-0.3882766919926582,0.7816907640559065,-0.3772060244946551,0.5062609892830493,0.0203807378733464,9.518294988543403,1,-0.1952423038670965,0.8430707441941182,-1.3062730510763532,0.838244434208112,0.2427867935552463
22,847,22.999,0.0929,7.6952,0.8826695371367063,1.3617089532383162,-1.0319842860063582,0.8862199117266436,-0.054201861609925,0.5040129592431573,0.019771292181981,24.418049461521115,1,-0.15443118110994924,0.2005221918021129,-0.3998987443086093,1.160795554463833,-0.4414372748774015
23,146,11.498,0.34,9.0474,0.5352941176470588,1.060622304309956,-0.4685210829577448,0.956523791593644,-0.2714075290571803,0.5021610700097828,0.0203201326123707,27.316303787328792,1,-0.14649272727257323,-0.2322951171260335,-0.6263525277907822,0.8468688281742385,-0.1465323896200926
24,1023,372.4,0.045,6.4346,1.8822222222222225,2.5710096723093048,-1.3467874862246565,0.8085215546293504,0.2746708965553632,0.500652818581676,0.0196205971520522,56.450897990653644,1,-0.06669171426474363,1.0466122090684455,-0.2871819997921499,0.6326597132939135,-0.1770177093829523
25,741,2.6871,0.8617,7.2308,0.2995241963560404,0.429283828934125,-0.0646439070544268,0.859186349350555,-0.5235680884017042,0.4986674459024647,0.0185698460553903,37.25638115070195,1,-0.11926639154819063,1.6765930245187537,-0.4313290219901032,0.8678680090143196,-0.3328901076823365
26,95,39.444,0.0137,4.5422,6.54014598540146,1.5959809501292492,-1.863279432843593,0.657266252953749,0.8155874425057185,0.497167000951029,0.0186247172557575,39.75555998349358,1,-0.11242102410793509,-3.382276437260005,-1.4814860601221125,0.6900719781611445,0.3758021228065509
27,1006,0.3582,0.364,5.4401,0.4774725274725275,-0.4458744184869873,-0.438898616350944,0.7356068829792511,-0.3210516115364083,0.495689722655883,0.017889848891065,15.348731129850549,1,-0.1792724672149466,-0.5227484764751105,-0.624702261782661,1.1443032727937348,-0.4705821929386581
28,1036,0.71148,0.0634,6.151,1.2492113564668772,-0.1478373036074114,-1.197910742118267,0.7889457270237478,0.0966359237077608,0.4937576700475721,0.0188715492160408,18.508144595725845,1,-0.17061868630665944,0.5987576873002555,-1.0,0.749450297993681,0.0888445627270042
29,573,2.0132,0.4445,10.8222,0.4083239595050618,0.3038869217251018,-0.3521282346937675,1.0343155556632582,-0.3889951359341012,0.4925234346257219,0.0201525986306101,57.02757327438422,1,-0.06511217375365508,0.788359305564385,-0.111315153340301,0.7335022077513035,-0.3990075549960003
30,809,0.49639,0.2476,4.357,0.3065428109854604,-0.3041769761430177,-0.6062493596519196,0.6391875599357539,-0.5135088644526,0.4911183049314769,0.0193642549211452,38.92976853697146,1,-0.11468290541322357,0.8391385239248444,-0.4023048140744876,0.8286663400258267,-0.2099495263166487
31,849,0.35735,0.1865,6.006,0.6916890080428955,-0.4469062135628141,-0.7293211638552936,0.7785853278629623,-0.1600891258454574,0.4862469101274634,0.0198457569939401,27.250609799379134,1,-0.14667266617099484,-0.8513973451939065,-1.1630432629404497,0.6297357072328554,0.451516063540232
32,134,0.83716,0.3107,7.2748,0.4776311554554233,-0.0771915306848638,-0.5076587467450255,0.8618210581266268,-0.3209073523119661,0.4837981449630892,0.0185187589973526,42.15304178712618,1,-0.1058542095759556,0.1067686651768057,-0.4658469258149374,0.7120938531249047,-0.0941891382641577
33,331,9.5884,0.2022,6.2851,1.1587537091988132,0.9817461432349174,-0.6942188487450177,0.7983121919826278,0.0639911373419805,0.4828772183964416,0.0180878948250884,69.51608724276358,1,-0.030905551252444097,1.0335845755154134,-0.4029633350223465,0.7437370435139938,0.6001059999949092
34,837,0.027241,0.0472,5.2444,1.7139830508474576,-1.564776953788971,-1.3260580013659122,0.7196958087174565,0.2340065229781845,0.4796472850382962,0.01594001698294,47.028599888012245,1,-0.09249982843325077,-0.4288387475872744,-0.1213058996038916,0.8800013883217691,-0.5815904502468519
35,826,0.49438,0.2512,8.4651,0.4315286624203822,-0.3059391068216036,-0.5999803649348415,0.9276320928869703,-0.3649903528627903,0.4772977709891572,0.0155941019734926,53.69780572557581,1,-0.07423256244419618,0.2897672709527814,-0.3032069149182557,0.6448323288256362,-0.1649311359859349
36,162,0.18913,0.4006,5.0247,0.5274588117823265,-0.7232395774422224,-0.3972890550424425,0.7011101372897544,-0.2778114479052441,0.4763060050443104,0.0150178781021129,37.729189541226035,1,-0.11797134730425474,1.327563260187278,-0.6880343396316337,0.6474220939813102,0.0079727796119422
37,643,0.75217,0.2658,12.5577,0.3039879608728367,-0.1236839922301293,-0.5754450233932868,1.0989101036705038,-0.517143615832127,0.4743322610414349,0.0136536700209744,16.19911387110878,1,-0.17694322920589145,-0.5428450575134158,-1.0634862575211066,0.8936730082678418,0.2591092011080434
38,811,0.45188,0.1251,4.3968,0.8896882494004796,-0.3449768799165343,-0.90274269030658,0.6431367110434376,-0.0507621453587116,0.4731829642190439,0.0143840181867227,38.85209588415878,1,-0.11489565443365612,-0.6219293059935578,-0.3193019703023649,0.9436725500399644,-0.3420423641189347
