number,prob_0,prob_ann,prob_ann_std
280.0,0.3436972612735133,0.3436972612735133,0.08168409003204224
281.0,2.5744031584603878e-17,2.5744031584603878e-17,3.9032861871920526e-17
282.0,3.4908069401889246e-07,3.4908069401889246e-07,6.466518584173223e-07
283.0,1.655457388408805e-05,1.655457388408805e-05,2.7809210914220768e-05
284.0,2.8681166143825777e-06,2.8681166143825777e-06,4.509987558054524e-06
285.0,2.337378734161943e-31,2.337378734161943e-31,4.518565153869604e-31
286.0,1.5186714595597004e-08,1.5186714595597004e-08,2.0845897475344766e-08
287.0,0.9563151880252276,0.9563151880252276,0.04590242169875483
288.0,0.37780214920774935,0.37780214920774935,0.09480436317995646
289.0,0.2867133764359316,0.2867133764359316,0.11145665661097634
290.0,0.3327545863157546,0.3327545863157546,0.08087233986378309
291.0,0.09626006872353361,0.09626006872353361,0.0813319726333494
292.0,0.003520439283614478,0.003520439283614478,0.003371997869840527
293.0,0.19618124910443874,0.19618124910443874,0.10571308569988294
294.0,0.0007890602899803571,0.0007890602899803571,0.0008534795251741767
295.0,3.312609850974684e-36,3.312609850974684e-36,5.181373738254646e-36
296.0,0.0805844541946695,0.0805844541946695,0.05850100212515552
297.0,1.3703019903315076e-09,1.3703019903315076e-09,2.883015805735447e-09
298.0,0.5543411842429169,0.5543411842429169,0.06594926533959411
299.0,0.17221575238233083,0.17221575238233083,0.028638518834942697
300.0,0.10882714638398538,0.10882714638398538,0.038650447274286855
301.0,2.020040037404529e-14,2.020040037404529e-14,2.9693204969326994e-14
302.0,0.5417904761047352,0.5417904761047352,0.08910466773357177
303.0,0.18128319165141743,0.18128319165141743,0.036486493937634756
304.0,0.1946274555691165,0.1946274555691165,0.20165185349071707
305.0,5.201782164856947e-07,5.201782164856947e-07,7.117573396124884e-07
306.0,1.564417809609418e-05,1.564417809609418e-05,1.790920778041974e-05
307.0,0.23781047678540435,0.23781047678540435,0.31727496334050803
308.0,0.3450027787294246,0.3450027787294246,0.07050476700155704
309.0,0.23302378908146015,0.23302378908146015,0.04226312292096944
310.0,1.2116583247530555e-13,1.2116583247530555e-13,2.1240615224076692e-13
311.0,8.108145371992718e-58,8.108145371992718e-58,1.796192444953491e-57
312.0,1.330170311952185e-36,1.330170311952185e-36,1.9190445406325387e-36
313.0,0.6775561699477419,0.6775561699477419,0.1439168222644514
314.0,0.009527242548661273,0.009527242548661273,0.011292184107780935
315.0,7.18146860716576e-58,7.18146860716576e-58,1.226871683149905e-57
316.0,0.12834846349447465,0.12834846349447465,0.03282121572700482
317.0,0.030525906880460495,0.030525906880460495,0.043416338408204615
318.0,5.434428543978869e-18,5.434428543978869e-18,1.1550639333568427e-17
319.0,1.4396294716139602e-50,1.4396294716139602e-50,2.5136566363683384e-50
320.0,0.3749091030167877,0.3749091030167877,0.1099524255115608
321.0,4.909864222667968e-36,4.909864222667968e-36,7.940991420869097e-36
322.0,0.15379354645488888,0.15379354645488888,0.08773464898863821
323.0,0.03445049909074298,0.03445049909074298,0.04248443897601207
324.0,0.30202926417983633,0.30202926417983633,0.09440677366141094
325.0,0.07088751363450782,0.07088751363450782,0.04877347096764377
326.0,0.14362000538464995,0.14362000538464995,0.044127566671831604
327.0,0.8271537677236763,0.8271537677236763,0.10050750010936763
328.0,1.9874040399486654e-30,1.9874040399486654e-30,2.787222984305082e-30
329.0,4.647651765284073e-29,4.647651765284073e-29,7.886714867924282e-29
330.0,0.43967650831980903,0.43967650831980903,0.09128955656038992
331.0,0.560531810884102,0.560531810884102,0.09651804793022883
332.0,0.018078041385521826,0.018078041385521826,0.018629049677662126
333.0,0.13080753098977285,0.13080753098977285,0.12333900533397733
334.0,0.366357071272147,0.366357071272147,0.14295347218059687
335.0,0.5405994417032343,0.5405994417032343,0.11654453795356894
336.0,0.1921808532825993,0.1921808532825993,0.06098945476002463
337.0,0.008954519350595531,0.008954519350595531,0.008863171852075058
338.0,0.7901314051915118,0.7901314051915118,0.10308968475593473
339.0,0.32938615954645245,0.32938615954645245,0.0901511406683215
340.0,9.587075531093989e-35,9.587075531093989e-35,1.3216479668620363e-34
341.0,0.26812439281684486,0.26812439281684486,0.07527703623554866
