Source_ID,Mean_Prob,Std_Dev,Median_Prob,Q25_Prob,Q75_Prob,Min_Prob,Max_Prob,F_peak,Beta,log_F_peak,log_Beta,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty
629,0.32317857295961255,0.13723827410182893,0.36206598018288405,0.3093149834482982,0.380944449902847,8.225503282225861e-27,0.5077809275053818,0.57885,0.4386,-0.23743396237292214,-0.35793137265849595,False,False,False,False
938,0.322400417003483,0.23094363160168194,0.4547729822496108,0.076317466625558,0.48791024649733294,3.309166856340065e-14,0.5435057209032581,0.69063,0.3769,-0.16075456043273337,-0.423773862550395,False,False,False,False
1109,0.32235988033745394,0.12775746355523296,0.3258504932375514,0.30286725956417904,0.40069916873193195,0.0021254258130049405,0.4691697362758072,2.3549e-06,0.0142,-5.628027530305907,-1.8477116556169435,False,False,False,False
736,0.3223239876609739,0.22726259416277506,0.41655138550719584,0.09799908796387594,0.4756917152840343,1.277507859971634e-12,0.5384403316597505,1.7031,0.4037,0.2312401489450753,-0.3939412505896856,False,False,False,False
725,0.3222943593464439,0.22907213685589356,0.41912930382168956,0.09760336360166934,0.46558698753089867,5.452461234639757e-17,0.5862007417696555,1.4507,0.6174,0.1615776110488706,-0.20943337485392347,False,False,False,False
858,0.32227216569554396,0.26577509476324385,0.40819567226064746,0.02939839207468092,0.5320556641785754,6.558957590679284e-116,0.6737099428878323,0.20681,0.2015,-0.6844284653855471,-0.6957249495228717,False,False,False,False
831,0.3218895182798083,0.2273420079453495,0.42357875312227267,0.10136263961541347,0.4480673936427342,1.002990474222115e-13,0.5781791296191975,1.6266,0.2796,0.2112807679641292,-0.5534628329263562,False,False,False,False
1086,0.3216415363770273,0.17771734393577432,0.3928806733295038,0.31626312502338505,0.4221432002296391,1.812918773233693e-26,0.4773336918732411,2.5378,0.677,0.40445739304674866,-0.16941133131485567,False,False,False,False
362,0.32158058802183803,0.2607041210728319,0.3434631901439405,0.054984570567800706,0.5223344983464947,8.538005765443609e-64,0.7005050548815126,0.014478,0.0764,-1.8392914277075705,-1.11690664142431,False,False,False,False
272,0.32130693874096417,0.1662720206603278,0.3896744978446869,0.37085758018679416,0.40485586997455897,1.793695545473576e-15,0.435590976372157,0.63166,0.089,-0.1995166240226817,-1.0506099933550872,False,False,False,False
259,0.3212557868521583,0.2218504202746414,0.4072736791866677,0.11496309652333524,0.4666773539965313,9.078080670387328e-32,0.5501016389601583,7.2301,0.1454,0.8591443040922973,-0.8374355934769809,False,False,False,False
1039,0.3211521552858961,0.14182336991572225,0.3723990436658513,0.27856307364097954,0.40189322116151466,4.446268283814928e-19,0.47294828402044126,0.016044,0.0108,-1.7946873466903908,-1.9665762445130504,False,False,False,False
621,0.3211360736350266,0.2843853373654294,0.31987334127462697,0.09970780522978201,0.42128739442869245,1.6907758362195453e-16,0.9566522504205663,0.83551,0.2986,-0.07804834778276325,-0.5249101966109935,False,False,False,False
429,0.3200279092230991,0.17804104023626985,0.37141979992600566,0.3241498103181632,0.41308676192607957,2.0027751016348716e-23,0.5396095156236909,7.6247,0.1012,0.8822227606866677,-0.9948194874962197,False,False,False,False
1037,0.3198498301589314,0.25958319250383927,0.3280894698583655,0.06148241141136439,0.5271370075753312,9.51672328643902e-62,0.7114773480451825,1.1633,0.3584,0.06569172809327087,-0.4456319990099124,False,False,False,False
500,0.31978575545834437,0.23465811280810375,0.3928688099189229,0.09308878425436463,0.45441972103462447,2.18245145023711e-40,0.6528411800014068,0.93308,0.5533,-0.030081119309131592,-0.25703932978584754,False,False,False,False
820,0.3196214218355147,0.24857199221858303,0.38802943323083877,0.11299933229716808,0.4636824926105273,1.8500473583683507e-44,0.7519993489511093,1.6388,0.6634,0.2145259552811047,-0.1782245328165365,False,False,False,False
209,0.3195141603133972,0.1798381338651271,0.34214042950275336,0.32008460970491903,0.40892715899683924,0.00018569552974829812,0.563073763275819,5.4752,0.4543,0.7383999878610062,-0.34265726318537393,False,False,False,False
