#4FGL LogParabola unIDs
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.1380    0.1277   4.8244e-02       4.1431    1.300       J0532.6+3358
 0.7123    0.1645   9.1082e-01      13.6470    7.549       J0533.6+5945
 0.2125    0.1297   2.1420e-01       5.1338    2.137       J0534.0+3746
 0.2558    0.1585   6.9383e-01       7.4954    2.228       J0535.1-5422
 0.3349    0.2464   5.6403e-01       4.6999    2.092       J0535.3+0934
 0.9318    0.5947   3.5247e+00       5.0413    3.113       J0536.1-1205
 0.1285    0.1184   9.0608e-02       4.9909    1.330       J0537.5+0959
 0.3107    0.1484   8.3716e-01       7.2748    3.230       J0538.9+3549
 0.0741    0.1175   1.0096e+00       5.0780    0.731       J0539.2-6333
 0.3488    0.1368   9.5302e-01      13.6926    3.607       J0540.0-7552
 0.3698    0.3661   2.6289e+01       5.2616    1.345       J0540.2+0655
 0.0652    0.1018   4.5933e-02       4.5577    0.724       J0540.6+5540
 0.8815    0.2518   9.2971e-01       5.7967    4.138       J0540.7+3611
 0.0166    0.0641   5.4752e-03      12.1572    0.226       J0543.5-8741
 0.1449    0.1277   1.2958e-01       4.9232    1.546       J0543.9-0418
-0.1189    0.0374   2.8565e+01       4.8005    2.221       J0544.4+2238
 0.0606    0.1334   1.1650e-02       4.2092    0.554       J0544.8+5209
 0.2847    0.0648   2.5657e+00      23.5802    6.321       J0545.7+6016
 0.0229    0.0693   3.8195e-02       6.4121    0.336       J0545.8-0905
 0.4238    0.1969   3.0620e-01       4.6307    2.329       J0546.5-1100
 0.3400    0.1820   1.1498e+01       9.0474    2.117       J0550.5-4356
 0.4088    0.1806   1.0074e+00       5.5943    1.779       J0550.9+2552
 0.7749    0.2045   4.0471e-01       8.0700    5.273       J0551.7+0446
-0.0313    0.0898   6.1924e+05       4.2724    0.295       J0553.5+4810
 0.8637    0.2761   5.2525e-01       5.0144    4.252       J0553.6+0100
 0.2133    0.2152   3.4862e+00       6.7741    1.343       J0553.9-5048
 0.0848    0.1112   5.0915e-01       6.0535    0.920       J0554.0-0839
-0.0295    0.0574   1.4513e+03       4.3364    0.475       J0554.2-0259
 0.4666    0.1641   5.2896e-01       7.4590    4.548       J0555.1+0150
 0.0276    0.0898   4.3107e-07       6.1501    0.347       J0557.5-4452
 0.2918    0.1475   1.3365e+00       8.8998    2.482       J0558.1-2113
 0.8136    0.4842   6.8128e-01       5.3141    3.655       J0601.0-1016
 0.3412    0.2469   1.0071e+00       5.6148    2.102       J0601.4-6057
 0.4857    0.1908   7.9125e-01       7.5484    4.321       J0609.0+2136
 0.5247    0.1791   5.3928e-01       6.5808    4.948       J0609.0+2006
-0.0322    0.0707   7.8032e+00       5.1094    0.400       J0610.8-4911
 0.2945    0.3072   2.6224e+00       4.2954    1.476       J0611.4-4722
 0.1936    0.1785   7.3186e-01       4.1205    1.230       J0611.5-2918
 0.6863    0.4023   4.5870e-01       5.2683    4.024       J0612.6+1520
 0.0262    0.0690   2.1716e-05       5.0340    0.383       J0613.1+1749
-0.0337    0.0710   7.5395e+04       5.4287    0.438       J0617.6-4028
 0.4006    0.2113   1.8913e-01       5.0247    2.975       J0618.7+1211
 0.3434    0.1310   7.8304e-01       6.8182    4.515       J0618.9+2240
 0.0414    0.0564   9.1884e-01       7.9599    0.825       J0620.1+2246
 0.1151    0.0907   9.7034e-02       5.7827    1.491       J0620.4+1445
 1.0000    0.0038   2.1340e+01       4.3367    2.237       J0620.7-5034
 0.8196    0.3242   8.1171e-01       5.5360    3.066       J0622.5+3120
 0.2072    0.1852   2.2218e-01       5.0151    1.508       J0624.7-4903
 0.1651    0.2165   1.5261e+01       5.0235    1.073       J0625.5+7029
 0.2723    0.1691   2.6860e+00       5.4900    2.196       J0631.0+5626
 0.0386    0.1094   3.1027e+01       4.3604    0.396       J0633.9+5840
 0.2563    0.2947   1.3411e-01       5.5749    1.530       J0634.6-3046
