Source_ID,Mean_Prob,Std_Dev,Coeff_Var,Median_Prob,Q25_Prob,Q75_Prob,IQR,Min_Prob,Max_Prob,Range,Skewness,E_peak,Beta,Sigma_det,Beta_Rel,log_E_peak,log_Beta,log_Sigma_det,log_Beta_Rel,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty,Consistent,Premium_Candidate,Stable_Candidate
64,0.2289485592251203,0.1935330834169851,0.8453124825020771,0.1686447149298323,0.16148395657189368,0.29418934212275677,0.1327053855508631,3.9298900135322263e-25,0.5204247825011189,0.5204247825011189,0.4825228125504178,6.6083,0.8501,4.2401,0.85260557581461,0.82008975062394,-0.07052998382251052,0.6273760992663314,-0.06925183150873285,False,False,False,False,False,False,False
1091,0.22880323529561492,0.22226221630923823,0.9714119920898603,0.17022181116367113,0.050964692394101035,0.4299791032763489,0.37901441088224785,4.581396143640738e-09,0.49285056506255726,0.4928505604811611,0.22269468565263614,0.2834,0.2343,6.4436,0.520273154075971,-0.5476001540885584,-0.6302277114030372,0.8091285728420596,-0.2837685829785809,False,False,False,False,False,False,False
107,0.2287950405694898,0.22667479029814966,0.9907329277182236,0.2621708695273552,1.499917918989225e-06,0.371115988982323,0.37111448906440403,5.020829427236196e-20,0.5106868444198519,0.5106868444198519,0.03279597499121657,0.086545,0.0447,4.5811,3.185682326621924,-1.062758017738154,-1.3496924768680636,0.6609697720149355,0.5032024661689011,False,False,False,False,False,False,False
353,0.22877441319567807,0.14947849741129965,0.6533881511896368,0.3239470141824365,0.15212518273135764,0.33283558550460807,0.18071040277325043,5.851967304423875e-07,0.3349636983632577,0.3349631131665272,-0.7730559598261211,2.9176,0.2731,7.0751,0.5657268399853533,0.4650257503057249,-0.5636782998602666,0.8497325825908538,-0.24739321637887987,False,False,False,False,False,False,False
633,0.2282214466229064,0.2702428075458178,1.1841253296018697,0.10663624701120157,0.0015870968932082798,0.4541865381484804,0.45259944125527213,2.668899784892e-16,0.5786973510616416,0.5786973510616413,0.41443025595366006,0.2668,0.1796,5.7569,0.515033407572383,-0.5738141747554887,-0.7456936676687144,0.7601886856258161,-0.288164599592253,False,False,False,False,False,False,False
909,0.22815201219374126,0.16714505410490524,0.7326038686738864,0.25564497195102015,0.13047519209942132,0.327833761764688,0.19735856966526666,8.840303173183578e-12,0.4268061351447366,0.42680613513589627,-0.23686240804349484,0.27602,0.1506,5.7217,0.9628154050464806,-0.5590594484603362,-0.8221750281353182,0.7575250831511473,-0.016456969629706966,False,False,False,False,False,False,False
124,0.2279646747410057,0.27147660211790386,1.1908713072216985,0.09545286747715268,5.7254199003263966e-05,0.511402341529187,0.5113450873301837,6.436505617466372e-18,0.5329109104996855,0.5329109104996855,0.35087920755838065,0.32607,0.0323,25.216,0.5386996904024767,-0.48668915652613826,-1.490797477668897,1.4016761958094612,-0.26865327404850325,False,False,False,False,False,False,False
481,0.2277130096740098,0.14194751506039946,0.6233614365292296,0.2847615257002084,0.18176376913599224,0.33537680479316995,0.1536130356571777,0.0001252081508926112,0.3365377405897857,0.3364125324388931,-0.8954426824335525,0.37201,0.142,24.0568,0.34225352112676055,-0.4294453856921692,-0.8477116556169435,1.3812378576352171,-0.4656520751207631,False,False,False,False,False,False,False
937,0.22770238864762873,0.2530024972383882,1.1111103736325219,0.16341928962967056,0.005876211563522012,0.38751987577019265,0.3816436642066706,3.072156813455693e-12,0.5816965662716862,0.581696566268614,0.43932714337204437,1.6014,0.4791,8.1636,0.40262993112085155,0.20449982417115128,-0.3195738291418546,0.9118817170081923,-0.3950939432142609,False,False,False,False,False,False,False
853,0.22756222382164024,0.3991213243476652,1.7538996592048324,0.05081110175066822,0.0003153471546218582,0.1536820683420781,0.15336672118745623,0.00031079181692001524,0.932691810043913,0.9323810182269929,1.4120661299195347,0.21584,0.1574,6.0462,0.7077509529860229,-0.665868067672171,-0.8029952719769542,0.7814825089449703,-0.15011953718533566,False,False,False,False,False,False,False
