Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
867,1.9916,0.4577,0.2992021176034219,-0.3394190875727004,0.2137289059039137,0.251722835382319,0.2027773392583655,0.1838271265256278,0.2026852584555982,0.2278049878730274,0.20639716787262583,0.006349638307662455,0.2026852584555982,0.2137289059039137,0.011043647448315486,0.030764172132145218
778,1.0105,0.6004,0.0045363178513227,-0.2215593164287672,0.2135178566877257,0.2384976375556443,0.2026342502466026,0.2103381098081061,0.2026767798021473,0.2201387878370954,0.20627629557882518,0.006271411935220717,0.2026342502466026,0.2135178566877257,0.0108836064411231,0.030402968085077507
548,0.49725,0.1198,-0.3034252082035268,-0.9215431819467074,0.2132600538515654,0.2235602814887877,0.2025196999060962,0.2437199485659325,0.2024026736156076,0.2991224759027746,0.20606080912442307,0.006235003389664794,0.2024026736156076,0.2132600538515654,0.010857380235957809,0.03025807339870852
407,0.13642,0.1466,-0.8651219548048706,-0.8338660296948909,0.2128022168641566,0.2241185765685225,0.2023262694210815,0.2236375584623685,0.2021199802517618,0.214834561236084,0.20574948884566666,0.006108712481565949,0.2021199802517618,0.2128022168641566,0.010682236612394785,0.02969004792642588
718,0.33511,0.2304,-0.4748126122124169,-0.6375175252488255,0.2118252006883656,0.2336683819036669,0.2022158974208531,0.176694493224558,0.2020465181954656,0.181308692983709,0.2053625387682281,0.005597470111666049,0.2020465181954656,0.2118252006883656,0.00977868249290001,0.0272565282484069
1003,0.65303,0.3722,-0.1850668669099457,-0.4292236312052518,0.2106574670137184,0.2338135278452134,0.2022056218888621,0.2309988429371358,0.2012732925569904,0.2201877003848312,0.2047121271531903,0.005169875147298565,0.2012732925569904,0.2106574670137184,0.009384174456728012,0.02525436556519285
123,0.26898,0.1781,-0.5702800107505644,-0.7493360805367565,0.2104747924047665,0.2536160790755908,0.2018298842111819,0.1853455577420435,0.2010212952980268,0.2036340315416892,0.20444199063799173,0.005240179088115206,0.2010212952980268,0.2104747924047665,0.009453497106739706,0.02563161714208649
900,2.1289,0.5143,0.3281552619699469,-0.2887834756789099,0.2095731533665656,0.2299633246379254,0.2015209391549166,0.2281134967091172,0.2009367999914663,0.2114458426846383,0.20401029750431618,0.0048264198583102234,0.2009367999914663,0.2095731533665656,0.008636353375099298,0.023657725520599554
36,21.26,0.2051,1.327563260187278,-0.6880343396316337,0.2094039684837626,0.2656736496733775,0.2013308930746813,0.2206098723313808,0.2008646940888129,0.2412732054027199,0.20386651854908563,0.004801234133834438,0.2008646940888129,0.2094039684837626,0.008539274394949697,0.02355087011097277
702,0.3363,0.2588,-0.4732731326853644,-0.5870357280033373,0.2088556775360307,0.2316552774823601,0.2012501462797642,0.2316366386159365,0.2001546293298154,0.237573570141489,0.20342015104853675,0.004739066415876912,0.2001546293298154,0.2088556775360307,0.008701048206215312,0.023296935718904257
529,0.32639,0.4637,-0.4862631557127486,-0.3337629041041955,0.2082303977513116,0.2271155333509943,0.2011925707341618,0.2129398950910875,0.1999402402295763,0.2319160015729072,0.20312106957168327,0.004468893460190933,0.1999402402295763,0.2082303977513116,0.008290157521735314,0.022001130899926218
1070,12.079,0.1129,1.082030981267012,-0.947306058075032,0.2069681518763541,0.2222977166496668,0.2009103943923599,0.1842259516218785,0.1999138696810469,0.2063245824569867,0.20259747198325365,0.003817773882909889,0.1999138696810469,0.2069681518763541,0.007054282195307182,0.018844132935598182
126,71.17,0.003,1.8522969658269253,-2.5228787452803374,0.2059489512571191,0.3073853750209507,0.2004677110498569,0.2490050987234717,0.1991815012013575,0.2140927903493031,0.20186605450277784,0.0035939001618787427,0.1991815012013575,0.2059489512571191,0.006767450055761598,0.017803389444040446
