#4FGL LogParabola frsqs (fsrq+FSRQ)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.1035    0.0259   7.7090e-02      41.4386    4.608       J0921.6+6216
 0.0555    0.0483   3.1140e-01      17.1705    1.300       J0922.4-0528
 0.1255    0.0478   3.4116e-01      23.8498    3.191       J0923.5+4125
-0.0331    0.0375   7.8177e+02      15.1426    0.753       J0924.0+2816
 0.1145    0.0626   7.6505e-02      14.2601    2.161       J0928.1-2035
 0.1353    0.0746   4.4480e-02      13.2106    2.193       J0930.9+0033
 0.1137    0.0527   2.1044e-01      19.4885    2.539       J0932.6+5306
 0.0872    0.0719   1.3035e-01      14.6481    1.386       J0937.1+5008
 0.1094    0.0436   1.6973e-01      20.5861    2.980       J0940.9-1335
 0.1377    0.0796   2.3486e-01      13.2673    2.136       J0941.9+2724
-0.0836    0.0911   2.7669e+00       4.0732    0.649       J0945.5+4635
 0.1010    0.0227   1.1644e-01      46.5355    5.204       J0946.6+1016
-0.0725    0.0396   5.4590e+01       9.0921    1.463       J0949.0+4038
-0.0078    0.0698   3.8168e+14       6.6280    0.144       J0949.2+1749
 0.0860    0.0390   3.7040e-02      23.7345    2.531       J0956.7+2516
 0.1418    0.0504   1.4147e-01      19.9400    3.372       J0957.3-1348
 0.0767    0.0067   1.4603e+00     163.0994   13.307       J0957.6+5523
 0.3793    0.1129   3.1352e-01      18.8781    5.121       J0958.0+4728
 0.0401    0.0718   4.5851e-04      10.1275    0.591       J0958.4+5042
 0.0315    0.0250   7.7721e-04      25.7771    1.369       J1006.7-2159
 0.1972    0.0458   2.9176e-01      26.9549    5.551       J1007.6-3332
 0.0512    0.0648   1.3931e-02      10.2786    0.881       J1010.8-0158
 0.0963    0.1213   3.1761e-02       5.3883    0.892       J1011.3-0427
 0.1426    0.0259   4.1658e-01      48.6608    6.936       J1012.7+2439
 0.1378    0.0869   9.8117e-02      11.0110    1.952       J1013.7+3444
 0.0615    0.0838   8.4103e-04       9.5331    0.831       J1014.8+2257
 0.1230    0.0711   1.2026e-01      12.6140    2.065       J1015.6+5553
 0.0230    0.0231   3.7497e-02      31.2161    1.047       J1016.0+0512
 0.2016    0.0496   1.4252e-01      24.1314    5.286       J1018.3-3124
 0.1219    0.0638   9.5447e-02      17.4863    2.327       J1018.4+3540
 0.1569    0.1166   1.0546e+00       9.0139    1.821       J1018.4+0528
 0.0921    0.0230   1.2600e-01      49.3075    4.681       J1023.1+3949
 0.1958    0.1945   1.9017e-01       6.0111    1.357       J1023.2+2859
 0.1254    0.0419   1.6172e-01      22.8133    3.544       J1023.9-3236
-0.0777    0.0655   2.5564e+02       5.5323    0.965       J1027.9+0252
 0.0773    0.0667   2.0766e-02      10.5674    1.286       J1028.4-0234
 0.0323    0.0377   1.4879e-04      17.3473    0.907       J1031.6+6019
 0.0319    0.0241   1.6702e-03      34.9227    1.421       J1033.1+4115
 0.0949    0.0157   5.3367e-01      78.4965    8.067       J1033.9+6050
 0.0118    0.0534   3.8196e-12      12.2961    0.228       J1036.2+2202
 0.2019    0.0959   3.0096e-01      10.2067    2.651       J1037.4-2933
 0.0772    0.0302   8.0018e-02      25.0558    2.921       J1037.7-2822
 0.1101    0.0435   3.1167e-02      21.1572    2.892       J1038.8-5312
 0.1079    0.1257   9.9572e-03       4.7134    0.929       J1039.7-1540
 0.0269    0.0290   3.3983e-03      25.0646    1.003       J1043.2+2408
 0.1518    0.0468   4.0280e-02      19.7613    4.029       J1044.6+8053
 0.1157    0.0632   1.2659e-01      12.1329    2.180       J1045.8-2928
 0.1004    0.0102   2.0142e-01     115.1397   12.085       J1048.4+7143
 0.0933    0.0431   3.3799e-02      22.0003    2.482       J1050.1+0432
 0.0144    0.0903   1.0731e-10       5.2240    0.184       J1051.4-3139
 0.9902    0.1559   5.8204e-01       6.9916    2.326       J1051.6+2109
 0.2095    0.0988   2.6908e-01      15.8563    2.298       J1056.8+7012
 0.1463    0.0790   1.8383e-01      12.1952    2.285       J1057.3-2341
 0.1688    0.0845   4.6831e-01      15.8364    2.004       J1058.5+8115
-0.0056    0.0959   1.0762e+15       7.4065    0.048       J1059.5+2057
 0.2016    0.1782   1.6367e-01       6.5939    1.529       J1102.6+5251
 0.2808    0.1886   4.7416e-02       5.9477    2.010       J1102.9+3014
 0.0687    0.0257   4.3432e-02      38.5635    3.034       J1103.0+1157
 0.1106    0.0394   2.8213e-01      26.4442    3.375       J1106.0+2813
 0.2203    0.0531   1.3930e-01      22.6931    5.421       J1107.0-4449
 0.0940    0.1192   9.7607e-02       5.0643    0.911       J1107.7-3042
 0.1013    0.0373   6.9485e-02      28.6492    3.191       J1112.5+3448
 0.1675    0.0869   4.1174e-02      10.7355    2.328       J1114.5-0819
 0.1513    0.1148   3.2440e-02       6.3890    1.538       J1114.7-0248
 0.3232    0.1459   3.9858e-01       9.7957    3.008       J1118.2-4634
 0.1759    0.1344   6.8718e-02       8.2861    1.792       J1118.6-1235
 0.2258    0.1114   1.5409e-01      10.9770    2.905       J1119.0+1235
 0.1231    0.0252   1.6124e-01      42.9614    5.839       J1121.4-0553
 0.2334    0.1238   1.4318e+00       7.8077    2.348       J1123.4-2529
 0.0177    0.0401   5.5136e-06      12.8745    0.474       J1124.0+2336
 0.1950    0.1043   6.1506e-01       9.3726    2.424       J1125.9+2005
 0.0791    0.0090   3.3075e-01     115.1871   10.066       J1127.0-1857
 0.0726    0.0775   5.6112e-03       9.1205    1.021       J1127.4+5648
 0.0500    0.0274   3.1688e-02      29.8387    2.034       J1127.8+3618
 0.0801    0.0596   5.5154e-02      15.4852    1.511       J1128.0+5924
 0.0764    0.0419   4.9814e-03      21.3304    2.049       J1129.8-1447
 0.1577    0.0428   1.2800e-01      20.0964    4.542       J1131.0+3815
 0.2280    0.1792   2.4233e-01       6.8945    2.017       J1135.7-0427
 0.2303    0.1006   1.8432e-01      11.2148    2.970       J1136.2+3407
-0.1253    0.0306   8.0657e+00       6.3154    2.716       J1145.5+4423
-0.0643    0.0898   1.0181e+03       4.3756    0.616       J1145.7+0453
 0.2492    0.1355   2.7549e-01       6.1272    2.572       J1145.7-6949
