#4FGL LogParabola blazars (bll+BLL)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0810    0.1014   1.2927e+01       9.4061    0.916       J0314.3+0620
 0.0617    0.0409   1.4499e+00      19.8991    1.689       J0314.3-5103
 0.1141    0.0454   1.6282e+01      20.7345    2.943       J0316.2-6437
 0.0767    0.0288   8.3260e+00      32.3868    3.088       J0316.2+0905
 0.1582    0.0568   7.9930e+00      20.0662    3.601       J0316.2-2608
 0.0557    0.0430   3.3259e+00      16.2754    1.386       J0318.7+2135
 0.0639    0.0388   1.2216e+02      16.5549    1.759       J0319.8+1845
 0.0118    0.0229   1.9180e+00      28.6731    0.526       J0322.0+2335
 0.1114    0.0465   7.4160e+00      20.8968    2.914       J0323.7-0111
 0.0124    0.0359   4.0810e+01      17.9024    0.361       J0325.5-5635
 0.0569    0.0275   2.0647e+01      30.4190    2.317       J0325.6-1646
 0.0206    0.0339   4.2456e+01      19.0274    0.600       J0326.2+0225
 0.5449    0.4692   2.2174e+01       5.8400    2.169       J0328.8-5715
 0.0718    0.0364   2.9188e+00      23.0302    2.246       J0331.3-6156
 0.0755    0.0432   1.9967e+00      17.4643    2.052       J0331.9+6307
 0.0483    0.0411   2.5081e+00      19.2228    1.239       J0333.7+7851
 0.0877    0.0296   5.6527e+00      31.0053    3.370       J0333.7+2916
 0.0658    0.0343   8.6752e+00      21.3663    2.133       J0333.9+6537
 0.0632    0.0167   1.6853e+00      61.5546    4.283       J0334.2-3725
 0.0727    0.0133   3.4143e-01      79.4400    6.215       J0334.2-4008
 0.0119    0.0354   1.2320e+01      17.6892    0.351       J0335.1-4459
 0.0586    0.1260   5.9845e+01       5.6515    0.503       J0336.5-0348
 0.0273    0.0813   5.9843e+02       6.2627    0.352       J0338.1-2443
 0.1386    0.0353   1.2822e+01      29.6287    4.774       J0338.5+1302
 0.0402    0.0389   6.5395e+00      17.6389    1.122       J0339.2-1736
 0.0644    0.0381   1.9243e-01      24.2320    1.914       J0340.5-2118
 0.0623    0.0309   6.8318e-01      25.7437    2.280       J0343.2-6444
 0.0443    0.0331   3.3976e-03      26.1858    1.493       J0345.2-2353
 0.0188    0.0344   3.1938e-05      19.1310    0.569       J0348.6-1609
 0.0289    0.0752   7.1044e+02      12.8511    0.387       J0349.4-1159
 0.2354    0.1169   2.4004e+01       9.0856    2.514       J0352.9-3623
 0.0038    0.0527   2.4232e-07       9.6431    0.065       J0353.0+5654
 0.0229    0.0547   5.2631e+04      13.0262    0.418       J0353.0-6831
 0.0594    0.0725   3.0161e+02       8.4347    0.880       J0353.7+8257
 0.1236    0.0827   6.8265e-01      12.7890    1.708       J0354.7+8009
 0.1021    0.0552   1.1276e+00      16.8104    2.168       J0357.0-4955
 0.0994    0.1369   3.5295e-01       7.7503    0.883       J0358.1-5954
 0.1396    0.1093   5.4701e+00       7.9524    1.529       J0359.0-3053
 0.1347    0.1214   2.0538e+00       7.4132    1.357       J0359.4-2616
 0.1136    0.0697   1.1345e+00      13.1832    2.031       J0402.0-2616
-0.0082    0.0847   5.1392e+10       6.1997    0.064       J0403.5-2437
 0.0589    0.0401   1.3950e-01      15.7924    1.616       J0407.5+0741
 0.3043    0.1239   2.6736e+00      15.9163    3.658       J0409.8-0359
-0.0190    0.0268   3.3392e-01      19.5325    0.652       J0416.9+0105
 0.1080    0.1277   1.0504e+01       6.5655    1.160       J0420.2+4012
-0.0078    0.0381   2.8350e+02       9.5973    0.189       J0422.3+1951
 0.1014    0.0210   6.4194e+00      44.8872    5.461       J0423.9+4150
 0.0475    0.0256   3.1826e-01      35.1846    2.020       J0424.7+0036
 0.0932    0.0399   3.5962e-01      28.9358    2.735       J0424.9-5331
 0.0855    0.0057   8.4224e-01     221.2494   18.311       J0428.6-3756
 0.3138    0.3443   3.1249e+00       4.6313    1.508       J0429.3-3238
 0.0570    0.0599   1.3613e+00      13.0987    1.041       J0430.3-2507
 0.0297    0.0400   5.2276e+00      17.6435    0.780       J0431.8+7403
 0.0311    0.0681   7.4565e+01      10.0611    0.484       J0433.1+3227
 0.0736    0.0205   1.6416e+00      42.1261    4.159       J0433.6+2905
 0.2520    0.1246   9.1886e-01      10.8772    2.703       J0434.1-2014
 0.0396    0.0772   4.7527e-03       8.8607    0.547       J0434.4-2342
 0.0206    0.0410   4.1985e+00      16.7529    0.524       J0434.7+0922
 0.1161    0.0414   2.0312e-01      26.3517    3.264       J0438.9-4521
 0.1468    0.0660   7.6145e+00      15.2362    2.772       J0439.8-1859
 0.1325    0.0861   5.2632e+01      11.2283    1.845       J0440.2-2458
 0.0744    0.0483   2.4203e+00      15.9002    1.768       J0440.8+2749
 0.0807    0.0838   2.8349e+00       6.8274    1.110       J0441.5+1505
 0.0972    0.1267   1.1481e+01       6.9198    0.852       J0443.4-4152
 0.0634    0.0351   8.2530e+00      23.3674    2.072       J0448.6-1632
 0.0543    0.0075   1.6255e+01     118.8581    7.972       J0449.4-4350
 0.0536    0.0609   5.2381e+00      10.6397    0.968       J0453.1+6322
 0.0277    0.0635   4.7796e+02       9.2863    0.405       J0500.6-4911
 0.1481    0.1393   1.0110e+00       6.1659    1.406       J0502.5+1340
 0.0571    0.0888   5.0299e+01       5.4680    0.696       J0502.9+6533
 0.0537    0.0906   3.0365e+01       7.6016    0.637       J0503.5-1116
 0.0909    0.0653   1.3482e+01      14.4576    1.480       J0505.6+0415
 0.0422    0.0705   1.4122e+00       8.1017    0.652       J0505.6-1558
 0.0014    0.0829   7.2675e-48       6.9634    0.000       J0505.8-3817
 0.0038    0.0337   1.3684e-01      15.5200    0.116       J0506.0+6113
 0.0082    0.0494   1.2153e-02      11.0564    0.152       J0506.7-0857
 0.1478    0.0505   3.5892e+01      23.8920    3.355       J0506.9-5435
 0.0283    0.0133   1.9421e+04      55.3661    2.141       J0507.9+6737
 0.0513    0.0125   1.2438e+00      77.4280    4.443       J0509.4+0542
-0.1050    0.0659   8.5114e+01       4.3500    1.242       J0509.6+8425
-0.0507    0.0439   8.7042e+00       8.3473    0.908       J0509.6-0402
 0.0826    0.0308   7.6432e+00      27.6531    2.979       J0515.8+1527
 0.0553    0.0520   2.0694e+01      16.1036    1.174       J0516.4+7350
 0.0481    0.0167   3.3911e-01      55.9566    3.133       J0516.7-6207
 0.0500    0.0677   7.1272e+00       8.1879    0.822       J0521.6+0103
 0.0406    0.0073   1.0231e+01     113.2448    5.816       J0521.7+2112
 0.1420    0.0732   2.2590e+00      11.9735    2.487       J0525.8-0052
 0.0405    0.0562   1.2785e+00      11.7874    0.785       J0528.7-5920
 0.0776    0.0143   5.7016e-01      82.2451    6.504       J0532.0-4827
 0.2012    0.1089   3.4608e+00       9.6662    2.389       J0536.2+1733
 0.1165    0.0478   3.1279e+01      21.7617    2.764       J0536.4-3343
 0.1861    0.1013   3.2803e+00      13.2490    2.524       J0537.7-5717
 0.0616    0.0047   5.3861e-01     217.2727   14.746       J0538.8-4405
-0.0068    0.0260   8.1513e-02      18.7695    0.246       J0540.5+5823
 0.0675    0.0212   3.8277e+01      41.8513    3.621       J0543.9-5531
 0.0453    0.0979   3.7215e+01       5.0608    0.511       J0546.9-2206
 0.0007    0.0543   4.4096e+34      11.8074    0.000       J0550.5-3216
 0.1173    0.0533   4.3068e+00      17.7872    2.691       J0553.5-2034
 0.1380    0.0655   2.1752e+00      14.8808    2.550       J0556.2-4352
 0.0569    0.0412   1.5201e+01      20.6445    1.547       J0558.0-3837
 0.0553    0.0447   2.8650e+00      17.7428    1.309       J0558.8-7459
 0.0683    0.0444   6.8551e+00      17.2470    1.717       J0601.0+3838
 0.0190    0.0713   7.0664e-02       6.3775    0.287       J0601.3-7238
 0.1235    0.0356   5.1243e+00      28.3571    4.116       J0602.8-4019
 0.0741    0.0618   3.2287e+01      12.4625    1.330       J0604.1-4816
 0.6528    0.3291   4.7560e+00       7.3226    3.234       J0607.2-2518
 0.0854    0.0177   2.0754e+00      52.2616    5.420       J0607.4+4739
 0.1765    0.0615   9.6421e+00      19.1526    3.642       J0609.2-0247
 0.0795    0.0596   1.5240e-01      12.9183    1.535       J0610.1-1848
 0.2093    0.1100   1.8472e+00       8.5068    1.933       J0611.6+2803
 0.1103    0.0148   2.5862e+00      72.7432    9.123       J0612.8+4122
 0.0398    0.0644   1.2278e+00      11.3298    0.672       J0615.3-3117
 0.0295    0.0230   7.0066e-01      31.0269    1.327       J0617.2+5701
 0.1239    0.0458   5.9013e+00      20.7126    3.272       J0617.7-1715
 0.1346    0.1433   4.3021e+00       4.5560    1.067       J0621.7-3411
 0.0526    0.1097   2.8728e+01       4.2034    0.484       J0621.8+1746
