Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
117,3.3729e-06,0.0212,-5.471996534616308,-1.6736641390712486,0.3630188026305463,0.311307147561491,0.3437787664463185,0.1894456111823151,0.3522689272785081,0.1613291384199145,0.35302216545179094,0.009642109411423768,0.3437787664463185,0.3630188026305463,0.019240036184227816,0.02731304173479749
270,0.38739,0.6718,-0.4118515942541627,-0.1727600004943545,0.362979128709065,0.2186398627859688,0.3432763547274924,0.3182715159060432,0.3517370674883267,0.1360969748925942,0.35266418364162805,0.009884051998725918,0.3432763547274924,0.362979128709065,0.019702773981572608,0.028026809006785475
920,1.7998,0.3852,0.2552242474798437,-0.4143137215475031,0.3628658253149835,0.2100278165032064,0.3427963317040569,0.2869589785053828,0.3516063347872728,0.2095316059925955,0.35242283060210444,0.010059629342648983,0.3427963317040569,0.3628658253149835,0.020069493610926636,0.02854420367721454
584,1.6522,0.4032,0.2180626178263746,-0.3944794765625311,0.3628380267511244,0.2649563898965077,0.3425683120453183,0.2462638148201031,0.3515317945842818,0.2135120988772054,0.35231271112690815,0.010157396642280145,0.3425683120453183,0.3628380267511244,0.02026971470580613,0.028830626977619987
1075,0.13346,0.1029,-0.8746488794852476,-0.9875846252375672,0.3626415720940109,0.1941431353518313,0.3421132629506268,0.2555201936173668,0.3510686247243619,0.1825531342421547,0.3519411532563332,0.010291931237669383,0.3421132629506268,0.3626415720940109,0.020528309143384105,0.029243329033874187
5,0.51449,0.103,-0.2886230620813831,-0.9871627752948278,0.3624278211964836,0.2807074876321836,0.3419521899377935,0.1983437251367499,0.3507454636248715,0.1954160705972363,0.35170849158638284,0.010271729942003486,0.3419521899377935,0.3624278211964836,0.020475631258690064,0.029205236426395154
34,0.37253,0.7563,-0.4288387475872744,-0.1213058996038916,0.362342302791465,0.2437806713750032,0.3418514314719489,0.2031954798054371,0.3493521467671846,0.2460141411185387,0.35118196034353283,0.010367261699763496,0.3418514314719489,0.362342302791465,0.020490871319516102,0.02952105340038398
465,99.738,0.0447,1.99886065526321,-1.3496924768680636,0.3618524503419781,0.1922031210990383,0.3412830947366215,0.2110115718418478,0.3488988374512998,0.2511495951836316,0.35067812750996646,0.01039947125288379,0.3412830947366215,0.3618524503419781,0.02056935560535661,0.029655316772030683
471,1.0531,0.2913,0.0224696127677693,-0.5356595153723327,0.361008719224533,0.2782538721302396,0.3404530816071647,0.250642032911864,0.3488711545470495,0.1922064060523572,0.3501109851262491,0.010333752675721453,0.3404530816071647,0.361008719224533,0.020555637617368283,0.029515647379183645
591,0.7903,0.5448,-0.1022080180607753,-0.2637629010952713,0.3604100720173721,0.3412672488783616,0.3402564072000057,0.2793663137839682,0.3487706541380144,0.1847800537242798,0.34981237778513075,0.010117136082430079,0.3402564072000057,0.3604100720173721,0.020153664817366357,0.028921606082871035
601,0.91214,0.3969,-0.0399384987755497,-0.4013189010928366,0.3603053415063951,0.2529707945947958,0.3401973168987502,0.2624214408826035,0.3485807327964908,0.1915097785976819,0.34969446373387864,0.010100171328055985,0.3401973168987502,0.3603053415063951,0.02010802460764488,0.028882845131096718
455,0.3795,0.43,-0.4207882197685008,-0.3665315444204134,0.3599100215629681,0.2817836958034324,0.3399947173958698,0.2177057468309349,0.3481499464934888,0.2590173674658444,0.34935156181744226,0.01001188017093096,0.3399947173958698,0.3599100215629681,0.019915304167098302,0.02865846608001748
324,0.7119,0.4033,-0.1475810070629986,-0.3943717779923814,0.3596954698226863,0.2096400264229307,0.3398203812209279,0.2072460854224805,0.3480533142037974,0.1831574298023563,0.34918972174913715,0.009986158085758787,0.3398203812209279,0.3596954698226863,0.019875088601758406,0.028598086306080114
