E_peak beta sigma_det beta_Rel number 
1.6441 0.9468 5.8185 0.30133079847908745 276 
2.9055 0.7831 5.6903 0.6012003575533137 277 
1.3243 0.1992 6.2107 0.7424698795180723 278 
0.052853 0.1515 11.7071 0.504950495049505 279 
12.408 0.2192 10.9688 0.44343065693430656 280 
0.27174 0.1175 5.5043 0.9506382978723404 281 
7.359 0.0795 4.589 1.5018867924528303 282 
0.35619 0.2175 4.4286 0.7485057471264368 283 
0.26485 0.2176 5.2747 0.5565257352941176 284 
0.17914 0.0568 4.5683 74.95422535211266 285 
0.33035 0.1973 4.7674 0.9163710086163203 286 
79.855 0.6285 4.1234 0.9826571201272873 287 
8.5314 0.6074 4.3819 0.6544287125452749 288 
1.0517 0.3997 7.0607 0.47835876907680763 289 
1.4858 0.6778 12.4115 0.3023015638831514 290 
4.4535 0.1526 4.4068 1.3132372214941022 291 
31.636 0.0576 37.2569 0.16319444444444445 292 
1.165 0.2736 11.6798 0.38888888888888884 293 
0.33215 0.2604 11.1981 0.35560675883256526 294 
0.035156 0.0699 8.0289 1.2718168812589414 295 
0.62719 0.3403 14.48 0.23684983837790188 296 
8.4892 0.0662 4.7438 1.9501510574018128 297 
42.58 0.2468 5.439 0.7289303079416533 298 
0.94114 0.5457 16.3627 0.255268462525197 299 
3.5431 0.1576 6.0484 1.0336294416243654 300 
0.20601 0.1619 5.1457 1.1914762198888202 301 
13.136 0.5228 5.517 0.7465570007651109 302 
10.312 0.1455 9.6974 0.6721649484536083 303 
0.83527 0.2137 10.401 1.0276087973795038 304 
1.1819 0.1481 6.7876 1.0020256583389602 305 
0.92599 0.175 7.8468 0.7794285714285715 306 
32.37 1.0 4.1425 0.0009 307 
1.6659 0.4637 13.0776 0.34397239594565454 308 
1.4287 0.4748 5.3439 0.6524852569502949 309 
18.428 0.0335 17.3994 0.49552238805970145 310 
0.00051049 0.0725 6.5025 1.6786206896551725 311 
0.1424 0.0431 4.2873 3.4825986078886313 312 
0.94999 0.2876 8.3988 0.33101529902642557 313 
2.7794 0.9926 4.5629 0.14134596010477535 314 
0.010228 0.0283 14.5076 1.0706713780918728 315 
1.6702 0.2616 5.2494 0.7347094801223242 316 
1.0836 0.4922 48.1958 0.10727346607070296 317 
4.6562 0.0455 11.4193 1.353846153846154 318 
0.020059 0.0347 6.2593 2.043227665706052 319 
1.4258 0.3351 4.466 0.6323485526708446 320 
0.18697 0.0418 10.0333 1.3205741626794258 321 
0.20753 0.4451 7.3912 0.5551561446865872 322 
2.6873 0.9749 8.0804 0.2113037234588163 323 
0.7119 0.4033 8.6963 0.38432928341185224 324 
1.4579 0.2134 19.4795 0.30880974695407687 325 
34.579 0.097 11.2391 0.7876288659793814 326 
0.73348 0.2976 4.3644 0.4674059139784947 327 
0.093855 0.0721 4.4826 1.2385575589459086 328 
0.22158 0.0592 6.8415 1.2381756756756757 329 
0.6421 0.6529 6.7646 0.5470975647112881 330 
9.5884 0.2022 6.2851 1.1587537091988132 331 
0.42454 0.2772 5.3346 1.4325396825396826 332 
0.33244 0.3384 7.549 0.3862293144208038 333 
0.52722 0.3898 6.4875 0.4240636223704464 334 
0.67177 0.409 6.0491 0.41955990220048905 335 
1.4431 0.2892 7.6088 0.6345089903181189 336 
0.84803 0.3237 28.8537 0.14612295335186903 337 
0.52385 0.5609 5.1856 0.26778391870208595 338 
1.1698 0.656 10.6921 0.29085365853658535 339 
0.11722 0.0516 5.1359 1.8139534883720931 340 
2.0397 0.2666 4.1526 0.7618154538634658 341 
1.3623 0.618 12.1191 0.3085760517799353 342 
1.2431 0.5263 8.0093 0.4482234467034011 343 
0.95845 0.3411 13.8473 0.29082380533567864 344 
2.5006 0.1552 5.204 1.0631443298969072 345 
1.4672 0.3816 4.3783 0.5843815513626834 346 
0.30708 0.1716 4.389 0.8094405594405594 347 
0.60748 0.5968 4.9726 0.5080428954423593 348 
0.75371 0.8284 6.8839 0.21294060840173828 349 
0.16719 0.0892 5.2365 0.945067264573991 350 
0.58011 0.19 5.0256 0.6410526315789474 351 
0.58518 0.1877 12.7573 0.40756526371870005 352 
2.9176 0.2731 7.0751 0.5657268399853533 353 
0.19807 0.0927 6.6911 0.8576051779935274 354 
2.0361 0.1528 4.7231 1.1564136125654452 355 
0.012626 0.0615 12.4779 1.0016260162601627 356 
0.48639 0.2808 12.5095 0.3571937321937322 357 
1.3379 0.6362 4.5002 0.6116001257466206 358 
0.31642 0.6874 5.7066 0.504218795461158 359 
0.61363 0.1704 8.0186 0.5868544600938967 360 
22.299 0.0595 7.9846 1.3949579831932775 361 
0.014478 0.0764 4.7392 1.536649214659686 362 
1.2377 0.3505 19.7186 0.2790299572039943 363 
