Beta,Beta_err,E_peak[GeV],det_sig,curv_sig,source_name
0.049895141558895476,0.010900974979443206,1.6200415928521913e-67,0.013430567296611878,0.09279806334476497,J0120.2-7944
0.13290807409996502,0.017831551744390932,1.110529153508434e-77,0.036004384608898515,0.006926232264138255,J0125.9-6303
0.3054002097168822,0.04886643956302126,1.63752599553262e-67,0.008319514320245094,0.08244233743527671,J0126.3-6746
0.09900384480950715,0.013602725243744862,2.3513055534160055e-63,0.08477775351492992,0.031134422701903034,J0126.8+2412
0.20167773505767211,0.036649829672265946,2.2068859277516753e-69,0.08156929217105163,0.04458341738955013,J0131.7-5346
0.5450891296749387,0.05102783977446258,1.839482400061619e-69,0.10222105952733568,0.25398426467621543,J0132.1-0956
0.17843411394617265,0.03289087278280277,2.095047369637218e-69,0.0019436703154626783,0.03268105709098245,J0137.3-3239
0.6823663054875917,0.06268060613179843,1.6861280135561888e-68,0.1386124485705699,0.2765785757514626,J0139.5-2228
0.29989514155889546,0.03279689886056619,7.189324501270893e-68,0.06184503823560569,0.0977741913791944,J0140.3+7054
0.026039846207619705,0.011112416304475509,2.6926750365863055e-67,0.026887079024575863,0.11774594849035033,J0140.5-4730
0.5687696609577071,0.06159990602607777,4.156666409920666e-69,0.02197925742713397,0.23219689328222715,J0142.5+6650
0.18149248514505414,0.025302478562198992,6.997227143187245e-71,0.02277704869121154,0.043036783000470716,J0144.3+5959
0.17091925900034952,0.02412780453424175,1.8127551413386736e-67,0.04877769297792345,0.035572590948826574,J0153.3+5416
0.6942502621461026,0.1469752143780101,1.062466302087345e-67,0.0021014989395213707,0.1502925156344563,J0154.6+0051
0.23357217756029358,0.01834840831669212,5.647462065778325e-68,0.11902224086377661,0.12359626117947684,J0156.3-2420
0.5509437259699406,0.07080935040526255,8.951706077177848e-70,0.004743506865545158,0.14276107860937395,J0158.4+1230
0.17476406850751483,0.017126747327616588,2.3348224601401834e-68,0.0670987855844091,0.05567883800685898,J0159.0+3313
0.09716882209017824,0.012099142487959593,5.40268042825233e-67,0.06124183020666901,0.03705198036446776,J0202.4+2943
0.38823837818944423,0.024245271937037474,4.2929215127474393e-69,0.11795851917833983,0.2801425593436891,J0204.7+6656
0.19765816148199927,0.03204510748267356,3.502734344912578e-69,0.02782972669703608,0.0352363660816354,J0209.8+2626
0.20674589304439006,0.02166098907553154,3.20696295155203e-70,0.029989600607099695,0.07551610517113845,J0211.5+6219
0.44993009437259696,0.010666040173851758,9.368404837094662e-69,0.853770698791638,0.7693497411068523,J0212.1+5321
0.43603635092624954,0.08072359920122166,6.397673881229301e-68,0.003485201944967542,0.0697330374554502,J0215.0-5330
0.2546312478154491,0.0352637143192764,1.4241700685511822e-67,0.023455927978258573,0.055611593033420746,J0222.7+5016
0.13736455784690665,0.02135557382826266,3.336285912346915e-83,0.010204809665165487,0.009616031201667674,J0224.8+2937
0.043428871024117424,0.009373898743098793,3.084957251790803e-67,0.016329857500210807,0.10739022258086207,J0225.5-5530
0.23942677385529532,0.031034887818630334,4.637448971732266e-68,0.020872295022777043,0.08176988770089436,J0226.9+7744
0.22588255854596292,0.03171619875484553,1.2623430640067782e-69,0.04314342730262233,0.06334476497881783,J0230.3+1713
0.9922229989514155,0.03516974039703982,1.4150042363090194e-67,0.004341368179587357,0.17598009548786228,J0231.0+3505
0.47763019923103806,0.033572183719017976,3.610028498806131e-69,0.13869244390057225,0.2783941900342949,J0235.3+5650
0.5786438308283817,0.02675907435686597,1.4012939998459523e-68,0.3642663022915419,0.47737206643803376,J0237.8+5238
0.3211289758825585,0.032233055327146716,3.0148655934683815e-69,0.008516259591331954,0.14074372940622687,J0239.1+6634
0.117790982174065,0.016421942910842244,2.9998459523992914e-56,0.04938738711469817,0.008069396812588258,J0240.2-0248
0.2472911569381335,0.04426171737342887,3.2764384194716166e-69,0.0014939668386926563,0.05500638827247663,J0245.0+4755
0.5163404404054526,0.08098202748737227,1.2183624740044675e-68,0.0019782628905988253,0.08123192791338847,J0246.0-4838
0.5661481999300944,0.05408199224715141,1.0605407070784873e-67,0.12065241596706786,0.25015130119023604,J0251.1-1830
0.8690143306536176,0.17006930576764948,5.089963798813833e-68,0.003988956320387788,0.13684352094680924,J0252.0-3657
0.062216008388675276,0.016680371196992838,2.732419317569129e-66,0.012496567767935715,0.053930468697464866,J0252.3-2707
0.27219503670045436,0.05509221191119464,2.0235692829084189e-69,0.01469968239691953,0.07470916548987963,J0257.8+7044
0.22824187347081437,0.014307529660519208,1.6566278980204883e-68,0.2770324759419449,0.15863089234079752,J0259.0+0552
0.2710590702551555,0.029061435451662166,4.976892859893708e-68,0.06394221310323503,0.11075247125277385,J0301.6-5617
0.09515903530234182,0.009984729237636557,1.3431410305784488e-66,0.07311356958620793,0.04781117611458543,J0302.5+3354
0.179395316322964,0.02100317161987549,1.1661403373642455e-71,0.02309919204716697,0.051913119494317796,J0302.7+5717
0.6376267039496679,0.09030893926935275,1.907879534776246e-68,0.02807187472298915,0.17194539708156814,J0304.6+6554
0.45403704998252353,0.12980148008927522,2.299622583378264e-67,0.0005275367708263562,0.10443144374957972,J0308.9-4702
0.6528311779098217,0.028403617996006113,1.0031579758145266e-68,0.33687546889154574,0.5292851859323515,J0312.1-0921
0.2858266340440405,0.03270292493832962,1.047061542016483e-67,0.04370555664858483,0.10940757178400914,J0312.7+2012
0.18219154141908422,0.030377070362974278,2.9269044134637607e-72,0.011424197938714922,0.035572590948826574,J0313.6-7508
