#4FGL LogParabola pulsars (psr+PSR)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.6487    0.0454   1.1041e+00      39.4392   15.996       J2030.9+4416
 0.4000    0.0157   2.3190e+00      86.9727   22.968       J2032.2+4127
 0.8266    0.2242   8.2468e-01      16.1381    7.933       J2042.2+0245
 0.3064    0.0300   1.5508e+00      58.3780   15.133       J2043.3+1711
 0.5840    0.0680   8.0570e-01      20.1440    8.303       J2043.7+2741
 0.3377    0.1259   2.6526e+00      12.9112    4.112       J2047.3+1051
 0.6184    0.1029   2.1672e+00      11.9277    5.115       J2051.0-0826
 0.1582    0.0841   5.1061e-01      10.2183    2.374       J2052.7+1218
 0.5825    0.0283   1.0638e+00      94.3710   32.140       J2055.8+2540
 0.2569    0.0204   1.2204e+00      59.2773   13.113       J2111.4+4606
 0.9122    0.2189   2.9752e+00      15.2259    7.678       J2115.1+5449
 0.5467    0.0322   1.6692e+00      82.4098   27.596       J2124.7-3358
 0.3915    0.0777   1.3666e+00      24.9946    7.323       J2129.8-0428
 0.6383    0.0424   8.7322e-01      43.5416   17.119       J2140.0+4716
 0.1455    0.2051   4.0109e-01       4.1766    0.614       J2205.5+6016
 0.6960    0.0939   3.4296e-01       7.6918    3.885       J2208.1+4058
 0.4689    0.0327   1.4469e+00      79.1811   22.171       J2214.6+3000
 0.2661    0.0268   1.3704e+00      36.3605    8.277       J2215.6+5135
 0.2174    0.0094   7.1192e-01     158.4364   32.300       J2229.0+6114
 0.4498    0.0550   1.6496e+00      29.4499    8.867       J2234.7+0943
 0.3021    0.0203   7.4161e-01      56.8740   16.361       J2238.5+5903
 0.3374    0.0873   9.8443e-01      13.4645    4.740       J2240.6+5833
 0.5022    0.0109   1.6520e+00      42.3103   20.170       J2241.7-5236
 0.3709    0.0725   1.1405e+00      27.3368    7.497       J2256.8-1024
 0.4020    0.0271   1.9028e+00      81.5316   22.424       J2302.7+4443
 0.6004    0.1176   1.5198e+00      22.1449    7.939       J2310.0-0555
 1.0000    0.0013   1.2695e+00       5.2514    3.422       J2317.3+1433
 0.2849    0.0278   1.8649e+00      71.8918   15.042       J2339.6-0533
